"N","qN","R","qR","phiN","Chi","Gamma","Mu","Sigc","taninv","K","sigK","M","sigM","error"
0.00001895131370378606,0.0008860063946896965,0.9999912627506091,1.0099830965282193,7.852742941460988e-7,0.9999832638876908,1,0.5,0.028867513459481294,1,1.,0.1,1,0.1,2.8534731184681e-17
0.33268526667004883,11.982259582585367,0.7672393611134662,0.6079067626505525,0.016898948985226536,0.6010336227445452,1,1.,0.05773502691896259,1,1.,0.1,1,0.1,7.751524868895577e-13
0.6452741949837654,23.029408430263363,0.5308165129816141,0.2972530799149189,0.032688204630229645,0.2927690737857274,1,1.5,0.08660254037844388,1,1.,0.1,1,0.1,7.00679798743589e-13
0.8087415887660845,28.77232466142504,0.40343891263068515,0.1735696838448993,0.04090183364419947,0.17047825210595954,1,2.,0.11547005383792518,1,1.,0.1,1,0.1,2.333238378779758e-13
0.9080792453195876,32.256334007568064,0.32500736623596627,0.1133666428268027,0.04587543310832154,0.11113649506100419,1,2.5,0.14433756729740646,1,1.,0.1,1,0.1,3.099071596580081e-14
0.9747017104803195,34.591560705993174,0.2720090933600296,0.07974490723856421,0.0492027028462379,0.07807052281628449,1,3.0000000000000004,0.17320508075688779,1,1.,0.1,1,0.1,2.5194605179495166e-14
1.0224543841788247,36.265014353116214,0.23383575206478288,0.059110026203893454,0.05158318935630435,0.05781071645340685,1,3.4999999999999996,0.20207259421636903,1,1.,0.1,1,0.1,1.1227344110165713e-13
1.0583498488976253,37.52286409980297,0.2050422437118812,0.045551025014886545,0.05337008334350507,0.04451522472945263,1,4.,0.23094010767585035,1,1.,0.1,1,0.1,2.7636399674155213e-13
1.086312880581528,38.50274873984913,0.18255441104246614,0.03617004076236953,0.054760564729025074,0.03532582232825161,1,4.5,0.2598076211353316,1,1.,0.1,1,0.1,4.907516683958177e-13
1.108709621868745,39.287604170806624,0.16450744188020816,0.029412751205801287,0.0558732709991589,0.028711907451131474,1,5.,0.2886751345948129,1,1.,0.1,1,0.1,7.346621068011395e-13
1.1270508336546754,39.93036947163303,0.14970515268949394,0.02438527938472534,0.05678382774948498,0.023794392698853997,1,5.5,0.3175426480542942,1,1.,0.1,1,0.1,9.935268478798164e-13
1.1423461717420935,40.46641909371198,0.13734524231415302,0.02054416901831656,0.05754270791484373,0.020039389780175495,1,6.,0.3464101615137755,1,1.,0.1,1,0.1,1.2579853227968504e-12
1.1552959501211113,40.92028749986766,0.12686961582182496,0.017543666510784754,0.05818488037146857,0.01710753976677652,1,6.5,0.3752776749732568,1,1.,0.1,1,0.1,1.5188068495781796e-12
1.1664011413630508,41.30952510550607,0.11787809382788753,0.015155332707360155,0.05873533601937542,0.014774801053829329,1,7.000000000000001,0.4041451884327381,1,1.,0.1,1,0.1,1.7754795983545094e-12
1.1760295708634683,41.6470177166081,0.11007627563124071,0.013223343169687206,0.059212408197207245,0.012888450134396627,1,7.500000000000001,0.43301270189221946,1,1.,0.1,1,0.1,2.0221557311577335e-12
1.1844573843585438,41.94243963663119,0.10324276948417899,0.011638460669777282,0.059629850768048054,0.011341485285283007,1,8.000000000000002,0.46188021535170076,1,1.,0.1,1,0.1,2.2635259369767596e-12
1.1918959300702154,42.203195100434954,0.09720788960044993,0.010322272500706399,0.059998183213272716,0.010057137303041317,1,8.5,0.490747728811182,1,1.,0.1,1,0.1,2.4883721305350955e-12
1.1985097081189195,42.43504749259144,0.09183939858965764,0.009217315005250507,0.06032558886089201,0.008979172084852799,1,9.000000000000002,0.5196152422706634,1,1.,0.1,1,0.1,2.7066623749531256e-12
1.2044286674297968,42.64254967731601,0.08703271957228788,0.008280700662180082,0.06061852872614115,0.00806563647782072,1,9.500000000000002,0.5484827557301446,1,1.,0.1,1,0.1,2.913433441884976e-12
1.2097568232656246,42.82934608725111,0.0827040649927302,0.0074798970515075865,0.06088217210607644,0.007284718176008277,1,10.,0.5773502691896258,1,1.,0.1,1,0.1,3.1085343107414636e-12
1.214578418415899,42.99838852909862,0.07878551626625724,0.0067898657603654615,0.06112070398729702,0.006611940866431269,1,10.500000000000002,0.6062177826491072,1,1.,0.1,1,0.1,3.2963856785201315e-12
1.2189624077156458,43.152093096244826,0.07522143741169388,0.006191082676309903,0.06133754842982431,0.006028224299511039,1,11.,0.6350852961085884,1,1.,0.1,1,0.1,3.4681402239207328e-12
1.2229657752839727,43.292456739604205,0.07196581912097764,0.0056681425451111525,0.06153553441984183,0.005518517432627747,1,11.5,0.6639528095680698,1,1.,0.1,1,0.1,3.640087757520851e-12
1.2266360237444778,43.42114389247243,0.0689802832279453,0.00520875871455458,0.06171701906479404,0.0050708190269137055,1,12.,0.692820323027551,1,1.,0.1,1,0.1,3.793268576352272e-12
1.2300130675442429,43.53955351331144,0.06623256384730193,0.004803035212787504,0.06188398287813479,0.004675465135087048,1,12.5,0.7216878364870323,1,1.,0.1,1,0.1,3.950725017555452e-12
1.2331306895937548,43.64886929999123,0.06369533721504589,0.004442929555245869,0.062038101132732615,0.00432460344713669,1,13.,0.7505553499465136,1,1.,0.1,1,0.1,4.088111151401166e-12
1.2360176753043812,43.750100300508315,0.06134531054489332,0.004121851299250445,0.06218080152428296,0.0040118005737693925,1,13.5,0.779422863405995,1,1.,0.1,1,0.1,4.2324834100050566e-12
1.2386987033867087,43.844111214523494,0.05916250513085572,0.0038343584550764916,0.062313307199590384,0.0037317451414931274,1,14.000000000000002,0.8082903768654762,1,1.,0.1,1,0.1,4.359098943892015e-12
