phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,m_metabolic,sigm_metabolic,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,nu_test,chi_test,dynamics,size,K,mu,M,S,epsilon,sample_size,epsilon_Metabolic
1.0,0.20192,0.9999993638398103,0.09653794649438745,0.9999993638398103,0.4780999727336938,-1.4303907046431811e-05,0.9999987276875384,0.07976096045960772,0.9999987276875384,0.3950126805646183,3.643746742373631e-10,100.96,1.232233744059949,0.0,0.00246446748811989,4.173973541050764e-08,0.002607866986779776,8.347898935633473e-08,0.007073876517850212,7.51322565652818e-12,0.0704413853462545,9.998287807475473,99.97553610996383,899.8282091284233,1.0879102396811184,1402.5207346348689,2.5058270628545447,20.01088003494403,4.010207154398598,0.0024620389653592675,0.00024865262375273406,0.00024073007831551123,11170163020506.986,-27.722102811609783,0.00010010046516345812,20902035441847.043,-0.00012427331321873206,linear,500,10.0,1.0,100,500,0.1,100,1e-05
1.0,0.20034,0.9999983851672137,0.09708117834810097,0.9999983851672137,0.48458210216682124,-3.64512753941084e-05,0.9999967703856706,0.07990408571766108,0.9999967703856706,0.3988423965142312,2.362136045811706e-09,100.17,0.7355949972641195,0.0,0.001471189994528238,1.0937490258933944e-07,0.0028086624685637876,2.18744813994322e-07,0.007666100999588731,4.863541799689175e-11,0.07047933052820529,9.998407264144998,99.97824698081817,899.8392764563462,1.0312623332684518,1402.37592782716,2.3705021639344626,19.997259959482015,4.001116567389104,0.005491907669378776,0.0005560713558887193,0.0006421298832382617,1182693872794.821,-10.853154447659849,0.00013993771557464508,13519646013519.977,-0.001125644191837078,linear,500,10.0,1.0,100,500,0.1,100,2.5118864315095822e-05
1.0,0.20001999999999998,0.999995969089824,0.09698483847329575,0.999995969089824,0.4848757047959992,-9.115503912867101e-05,0.9999919385053414,0.08042053221207272,0.9999919385053414,0.4020624548148821,1.4769767495488573e-08,100.01,0.6244197306299666,0.0,0.0012488394612599342,2.8794807995931564e-07,0.002561867014570932,5.758803938636786e-07,0.007432797262509654,3.094451789993718e-10,0.07101447331838145,10.000229395420762,100.01452433811663,900.0193202873502,1.0257680249404657,1402.7388769758743,2.3553761096394403,19.98892052172946,3.98408852235275,0.0057321801013215075,0.0006234342447257518,0.0006179584596173372,7267260285896.241,-44.39960721728219,0.0001700123565984938,-10705978399802.883,-0.00039453243529885643,linear,500,10.0,1.0,100,500,0.1,100,6.309573444801929e-05
1.0,0.19975999999999997,0.9999898413709462,0.0975977862240182,0.9999898413709462,0.48857522138575393,-0.0002277389596070831,0.9999796847192837,0.08199937107585537,0.9999796847192837,0.41048944271052945,9.209791165254046e-08,99.88,0.5344155686354956,0.0,0.0010688311372709918,7.581331402324734e-07,0.002630285429036407,1.5161560083170576e-06,0.008322628768023251,1.8741935489878705e-09,0.0724740432000262,9.999717630176175,100.00437250612684,899.9626397923593,0.9936696443530938,1402.580751659621,2.2851120468242585,19.99860013332678,4.018925681669345,0.006449160532532322,0.0006992423794613677,0.0007575870537774167,726731484656.7439,-13.24428385681177,0.00020002700882309617,-402296064883.3532,-0.00018190526171968211,linear,500,10.0,1.0,100,500,0.1,100,0.00015848931924611142
1.0,0.19945999999999997,0.9999743238835226,0.09691296457653072,0.9999743238835226,0.4858766899455065,-0.0005783274779365769,0.9999486608658844,0.0796984921878423,0.9999486608658844,0.39957130345854963,5.938355113308351e-07,99.73,0.5450688029964658,0.0,0.0010901376059929324,1.801934674132294e-06,0.002853738919579276,3.6030432468513554e-06,0.00813290505977813,1.2439576208311044e-08,0.0703063694848304,10.000012350466099,100.01020160615259,899.978155673443,1.0447328282116057,1402.6171399584555,2.40253864624213,20.0019393035925,3.994985655485062,0.006667835917751716,0.0007261441066984567,0.000692572621799565,-560158831144.17,-12.352478144448806,0.0002800491129384489,102762964417.69188,-0.0002787459426899982,linear,500,10.0,1.0,100,500,0.1,100,0.0003981071705534969
1.0,0.19957999999999998,0.9999359247307253,0.09730145143663806,0.9999359247307253,0.4875310724353044,-0.0014428980079339278,0.9998719308967761,0.08083687355622268,0.9998719308967761,0.40503494115754424,3.701646366859416e-06,99.79,0.49588305072869754,0.0,0.000991766101457396,3.9284285511243574e-06,0.002573246779509042,7.851281987499216e-06,0.008465566605992939,7.732968524873059e-08,0.07136930110454624,10.000304056046962,100.01628140869914,899.9727638232516,1.0526941751832741,1402.6242708736283,2.424998484112608,19.991613063715626,4.001627364828992,0.007275687133843028,0.0007697569266021088,0.000845098176261441,-85460182279.30913,-9.070056777507256,0.00022988528262873559,1151006195936.382,-0.00023016704248317928,linear,500,10.0,1.0,100,500,0.1,100,0.001
1.0,0.19902,0.9998393125546013,0.09644641969614319,0.9998393125546013,0.4846066711694462,-0.003630307151134415,0.9996791414372032,0.0797920807721254,0.9996791414372032,0.40092493604725865,2.3448326082589573e-05,99.51,0.6402343321003647,0.0,0.0012804686642007303,9.736837511687378e-06,0.002347359290095229,1.9449159728704516e-05,0.00688112354548708,4.905075453644171e-07,0.07049016889992081,10.00064228595914,100.02271245642838,899.9193493243283,1.0515676249849102,1402.5626190143062,2.4211040415800253,19.983644349619432,3.999618426133094,0.0076893651030756375,0.0008591821458520315,0.0008418339235028666,-7.37794906425628,-7.37794906425628,0.0004898680080682843,-7.377949064256107,-0.0004898680080682965,linear,500,10.0,1.0,100,500,0.1,100,0.0025118864315095794
1.0,0.19848,0.9995972457235083,0.09686758331188453,0.9995972457235083,0.4880470743242872,-0.00904589033584381,0.9991975919655289,0.0809420827236787,0.9991975919655289,0.40780976785408457,0.00014551421432654907,99.24,0.9499473669630333,0.0,0.0018998947339260684,2.7974631597665858e-05,0.002733733457606857,5.5729143896784273e-05,0.007688764866048235,2.9383075051938785e-06,0.07155875402699381,10.003600662800006,100.08213946148567,899.9953601978278,0.9874494784765655,1402.900419829115,2.2718897337227038,20.019540031606905,4.01881810368691,0.00861284837440528,0.001010947318770642,0.0009789587399287299,-9.560363303281989,-9.560363303281989,0.000759257113992238,-9.560363303289275,-0.0007592571139920997,linear,500,10.0,1.0,100,500,0.1,100,0.00630957344480193
1.0,0.19626000000000002,0.9989864259242642,0.09705625657909153,0.9989864259242642,0.4945289747227735,-0.02256588635563195,0.9979916985134449,0.08224252896010179,0.9979916985134449,0.4190488584535911,0.0009000632023982591,98.13,1.3903596656980524,0.0,0.0027807193313961072,7.800533959343242e-05,0.0027911393048869505,0.00015460421715441798,0.008498123290521922,1.781933250948528e-05,0.07282261201895533,10.008812170180633,100.1878732580231,899.9518999487674,1.0272529960159624,1403.2147631033251,2.3650360431576534,20.005084197744054,4.005497770644506,0.014970300831981696,0.0016228731278526063,0.0015473835421416784,-5.507828341878707,-5.507828341878707,0.0018658103559513009,-5.507828341879388,-0.0018658103559512878,linear,500,10.0,1.0,100,500,0.1,100,0.015848931924611124
1.0,0.1916,0.9974676896857941,0.09718494725665792,0.9974676896857941,0.5072283259742063,-0.05663700730625571,0.9950475038257445,0.08446581015415883,0.9950475038257445,0.44084452063757207,0.005609665962175927,95.8,2.1354156504062622,0.0,0.004270831300812529,0.00019917048239595454,0.002718910437680372,0.0003924178164220452,0.007821375744191537,0.00010571185862871681,0.07502089618087944,10.027736450284992,100.57575633398666,900.3838121258797,1.1784044526995179,1405.2713734169927,2.7249263031033695,20.01087531618419,3.9809553465329603,0.030378394103894212,0.0036315030374819575,0.003492354993604584,-2.9635687606899057,-2.9635687606899057,0.004174912182196055,-2.963568760689764,-0.004174912182196076,linear,500,10.0,1.0,100,500,0.1,100,0.03981071705534969
