phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,nu_test,chi_test,dynamics,size,K,mu,epsilon,sample_size
0.50097,0.0,0.39777063754607667,0.0,0.7940009133203121,,-0.9998141028411159,0.498116123183878,0.0,0.9943032979696953,,1.0096332218577193,0.0,0.0,0.05178956555137339,0.0,0.0572318572967164,0.0,0.10983771634670188,0.0,0.33989464309006573,0.0,1.0,1.0,0.0,0.0,-6.218580409722563e-09,8.057252629992637e-10,0.0,0.0,0.0,0.0,,0.39777063754607667,0.0,-0.39777063754607667,linear,500,0.0,1.0,0.0,1000
0.50252,0.041184,0.2112912865126066,0.03949392083225584,0.4204634373012151,0.9589627241709363,-0.8015579415755624,0.12183725576421489,0.06612618557279865,0.24245255067303767,1.6056280490675665,0.7457089878160391,20.592,3.4723962907479327,0.049421145272039176,0.0069447925814958645,0.023092388866097983,0.009213581737493487,0.020329113585722085,0.02747654865582889,0.07719324800806249,0.06456641579009416,1.557743746647691,3.3149617546191488,18.901159715422608,4.385703926561163,11.50691481601672,3.9377452341940518,0.5395014119985715,0.08099564413276329,0.09238231487431972,-0.14637193721268568,-0.14637193721268568,0.07298240027301148,-0.14637193721268563,-0.07298240027301148,linear,500,0.0,1.0,0.01,1000
0.49884,0.04422800000000001,0.14485298076332992,0.053342560886011234,0.2903796422967885,1.2060812355523933,-0.7197276276609412,0.05656995390181874,0.1141574006829214,0.11340300277006404,2.5811115285095734,0.6193840412575913,22.114,3.4538390234636007,0.04982022079437225,0.006907678046927201,0.012748626759619876,0.010599619948390844,0.007137747013291917,0.04179819400191373,0.03558756786579711,0.1113119718810436,2.1697607001461843,7.039986019994846,25.360251512194203,4.9991893382954515,20.483931933981033,5.818626196579446,0.48935256595975635,0.10184885472571409,0.12265437441012834,-0.24982690925278275,-0.24982690925278275,0.033163884892842235,-0.24982690925278275,-0.033163884892842235,linear,500,0.0,1.0,0.02,1000
0.49986,0.044212,0.11369295054831402,0.06088824847870615,0.22744958698098264,1.3771882855040745,-0.6681383018352205,0.034779580103626265,0.14755121670667992,0.06957864222707609,3.3373567517117495,0.541693383627638,22.106,3.352724861959299,0.05036844647197291,0.006705449723918598,0.009085330911042449,0.011565425819947132,0.003964897940409583,0.05282839481263561,0.021853493099244885,0.14384383790387525,2.7651790130405827,11.604909703995359,28.771580049892755,5.39439714867325,27.35066314827573,7.345400169850986,0.5902203365937755,0.14142766550099203,0.1637024685864209,-0.32778700201201466,-0.32778700201201466,0.020155449550988552,-0.32778700201201466,-0.020155449550988552,linear,500,0.0,1.0,0.03,1000
0.5013299999999999,0.042888,0.09393055728568411,0.0647861981313807,0.18736272971033877,1.5105903313603033,-0.6329191112012027,0.023819434757851924,0.17376838118726046,0.047512486302140174,4.051678352622189,0.4892322787172294,21.444,3.249440567236151,0.04996730030730098,0.006498881134472303,0.007155983519206394,0.011458248059657604,0.0025652607055414983,0.05978575473960374,0.01499648516585274,0.16957112971894195,3.32712749439518,16.81560525547005,30.494685654412333,5.392017107787402,32.61443699564451,8.176036645708098,0.7642643806650212,0.1874248461713284,0.21855076572881113,-0.37403801284819704,-0.37403801284819704,0.01410492082044384,-0.374038012848197,-0.014104920820443841,linear,500,0.0,1.0,0.04,1000
0.50169,0.041805999999999996,0.08083261977111031,0.06782127695396689,0.16112065173934165,1.6222857234360357,-0.6037510938615969,0.017656299147959104,0.19802836430023174,0.035193643779942,4.736840747745102,0.4473315209069175,20.903,3.29599620752209,0.051365785305006295,0.006591992415044181,0.005702910906718322,0.012193844940173311,0.0017090562731277566,0.07253071481065461,0.011122386728898209,0.19342863869256505,3.8733972886479426,22.673906494978993,31.747120456683202,5.605625546660375,37.122644230964745,9.319712404698695,0.9099578048028648,0.24991076689778396,0.2830834199983946,-0.42134271542445684,-0.42134271542445684,0.01057121333809469,-0.4213427154244569,-0.01057121333809469,linear,500,0.0,1.0,0.05,1000
0.5004400000000001,0.04081200000000001,0.0710035763947199,0.0703783232322826,0.14188229636863542,1.7244517110722977,-0.5802706465533922,0.013679088641228916,0.21780967193295084,0.027334123253994327,5.3369026740407435,0.41479646959441185,20.406,3.128444341841484,0.048916320384918575,0.006256888683682969,0.004613860062636022,0.012263201979137616,0.0013173237590944009,0.07915991585714627,0.008637580780388092,0.2128565635519632,4.440938723524411,29.419695955873035,32.81750299604482,5.60130244414107,41.23803050265218,9.977106055127742,1.051087172671404,0.3068132910535478,0.34482007496562045,-0.47118994442667134,-0.47118994442667134,0.008186354748547049,-0.47118994442667134,-0.008186354748547049,linear,500,0.0,1.0,0.06,1000
0.49966,0.039064,0.06330044147142637,0.07217441153665932,0.12668703012333657,1.8475939877293495,-0.5633027681126743,0.010948501699093472,0.23903904818668187,0.021911903492561884,6.119164657656202,0.39101876585759177,19.532,3.1133544610275266,0.0490579697908505,0.006226708922055053,0.004156943473149467,0.012144422660036116,0.0010468284595949134,0.08572198419469317,0.0069415558086159965,0.23382990250601882,4.972366523207975,36.47336825587797,33.488733086594806,5.4870281709865,44.64784107834351,10.240209857434365,1.2429083129222243,0.39976631355703807,0.436064216633088,-0.4962455180344487,-0.4962455180344487,0.006680317541701189,-0.4962455180344487,-0.006680317541701189,linear,500,0.0,1.0,0.07,1000
0.5019300000000001,0.038694,0.05768240939079339,0.07405392395955718,0.114921222861342,1.9138348053847412,-0.543626591270011,0.009076993669326693,0.25343489219159404,0.018084182394610196,6.5497206851603345,0.3653636161775709,19.347,3.1190689315883993,0.04917087654292935,0.0062381378631767995,0.003616328332062931,0.012502064451465882,0.0008108645517502487,0.09112145342463995,0.005749733316199605,0.24795090853778615,5.51200371640897,44.22842091254005,34.30492040243385,5.637927388580108,48.18207680398642,11.077164752926357,1.3816898591761022,0.4479895152438535,0.4992893159215393,-0.5492990619067964,-0.5492990619067964,0.005529657987763642,-0.5492990619067964,-0.005529657987763642,linear,500,0.0,1.0,0.08,1000
0.5015299999999999,0.037795999999999996,0.0529375548392861,0.07571064590843508,0.10555212019078837,2.0031391128276823,-0.5290605736742633,0.0076759792153701795,0.2715031436480746,0.015305124749008392,7.183382994181251,0.3465799290465551,18.898,3.1038034731599873,0.049072997666741336,0.006207606946319975,0.003117863934494529,0.01309123882270235,0.0006767997875174695,0.09484912937041401,0.004873594503007757,0.2657710417442022,6.053815371380545,52.84109579767376,34.86804449095368,5.8711516617493045,51.223785232362005,11.928626696003326,1.5361322164354965,0.5151114250843213,0.5702228236013795,-0.5880679194776417,-0.5880679194776417,0.004707077220810705,-0.5880679194776417,-0.004707077220810705,linear,500,0.0,1.0,0.09,1000
