phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,nu_test,chi_test,dynamics,size,K,mu,M,S,epsilon,sample_size
1.0,0.0,0.49955734661446927,0.0,0.49955734661446927,,-0.9992502304489479,0.25958526011555993,0.0,0.25958526011555993,,1.0085623842836238,0.0,0.0,0.0,0.0,0.01000568742611207,0.0,0.010141299839306665,0.0,0.010027717559070929,0.0,1.0,1.0,0.0,0.0,-1.6806410485514788e-11,7.578934066366919e-12,0.0,0.0,0.0,0.0,,0.4995573466144693,0.0,-0.4995573466144693,linear,100,0.5,1.0,100,100,0.0,1000
1.0,0.13155,0.4490988114000103,0.05263776031867361,0.4490988114000103,0.4001350081237067,-0.5948894503717108,0.2162260853818685,0.039717926963815875,0.2162260853818685,0.3019226679119412,0.4970360885977192,13.155,2.867224267475427,0.0,0.028672242674754274,0.01585451413935904,0.015890399311613488,0.013218837434670621,0.02144817437170267,0.01453634298096649,0.036947193152449744,1.1753153124241773,1.516722745176914,5.062094236587277,1.4978301959991744,1.5531111069361618,0.7168563386112629,1.386575112648536,0.0648435191908633,0.08152396046560853,-0.20917494226441052,-0.20917494226441052,0.37850704571835786,-0.20917494226441052,-0.37850704571835786,linear,100,0.5,1.0,100,100,0.01,1000
1.0,0.25727999999999995,0.3445265336403961,0.16115283990414292,0.3445265336403961,0.6263714237567746,-0.41321711506941794,0.13876848744956136,0.17601599734770235,0.13876848744956136,0.6841417807357835,0.3018655443336231,25.728,2.9735527572249327,0.0,0.02973552757224933,0.019186750493106332,0.02116232862390483,0.013483243792606611,0.0483752893858232,0.020069955067294375,0.15004575953853203,1.7176379873829444,3.619491591678841,15.549051245384808,1.970981501319403,7.224920861399603,1.5740090406065024,1.1115232252168057,0.06135611023703164,0.08456255786813405,-0.5564118579066101,-0.5564118579066101,0.21517952653242806,-0.5564118579066101,-0.215179526532428,linear,100,0.5,1.0,100,100,0.02,1000
1.0,0.30879,0.26215761111894204,0.24699591075137892,0.26215761111894204,0.7998831268868128,-0.33627197227636213,0.08633661288879439,0.33544795578482667,0.08633661288879439,1.0863303726960933,0.22083036441385798,30.879,3.0450548435126747,0.0,0.030450548435126745,0.016440476549286622,0.02061082981000919,0.010222062632196584,0.07282447286649739,0.01760999982120395,0.2744409758569235,2.3887652344048877,7.137024797949562,23.808129098280347,1.874358642259555,14.394119122727384,2.125996696148888,1.1631183082664505,0.08640484699832819,0.11688798648317747,-0.8721885563834795,-0.8721885563834795,0.11939365396995993,-0.8721885563834796,-0.11939365396995993,linear,100,0.5,1.0,100,100,0.03,1000
1.0,0.32282,0.20524679836635895,0.3061115920562439,0.20524679836635895,0.9482423395584036,-0.29550352318613093,0.05500816810603591,0.4841842660506142,0.05500816810603591,1.499858329876136,0.17672147251134515,32.282,2.9967442333305656,0.0,0.029967442333305654,0.013173732737854481,0.01922532466625766,0.00734632249079085,0.09244847226666972,0.01288191986639511,0.39047995925940593,3.0900826348737405,11.884581664008333,29.442709127484157,1.6190185918994233,21.480716797839086,2.412400914478457,1.324343945103149,0.11869914052725834,0.15467250682179537,-1.1582276472715558,-1.1582276472715558,0.06933086530923524,-1.1582276472715558,-0.06933086530923524,linear,100,0.5,1.0,100,100,0.04,1000
1.0,0.31773999999999997,0.16567458650082573,0.348287948119942,0.16567458650082573,1.096141336060748,-0.2752536612104347,0.03644700873280232,0.6227365232961527,0.03644700873280232,1.959893382313063,0.15342786953750165,31.774,3.106915512208209,0.0,0.031069155122082092,0.010405231064738606,0.017875373246793957,0.005181672984480667,0.1076406303407347,0.008998940120582739,0.5014320284905532,3.8179465380028526,17.914018497516704,33.471851700610735,1.474175110010163,28.313069416169427,2.5219409922445886,1.6012572560440224,0.1808495399125895,0.23178718022118067,-1.409128709231721,-1.409128709231721,0.04310081319638711,-1.409128709231721,-0.04310081319638711,linear,100,0.5,1.0,100,100,0.05,1000
1.0,0.31188,0.13876327433259822,0.37696773649516907,0.13876327433259822,1.208694807282189,-0.2584502572276161,0.02544387002991205,0.7395955980172589,0.02544387002991205,2.3714107926678816,0.13492032512300214,31.188,3.1242048588400855,0.0,0.031242048588400857,0.00809120298525705,0.01674072285340964,0.0035513815694252974,0.1230164906477302,0.006188623726408135,0.5974909236589677,4.505261756592049,24.700040458128314,36.12605215975393,1.2446657373667391,34.18870210571615,2.559934617720695,1.8621559024066878,0.26038768841058646,0.31519173854673777,-1.6645226985974764,-1.6645226985974764,0.02892680635302031,-1.6645226985974764,-0.02892680635302031,linear,100,0.5,1.0,100,100,0.06,1000
1.0,0.29943000000000003,0.11858831549922622,0.40069579908595543,0.11858831549922622,1.3381952345655257,-0.24910916129717942,0.018509047753766973,0.86940368868554,0.018509047753766973,2.9035290007198338,0.12338056084357991,29.943,3.0701385962200467,0.0,0.030701385962200466,0.006544730032147604,0.01674133629595187,0.002514219485873902,0.1518046518503895,0.004445859180822956,0.7088465652804076,5.229564671695351,33.05587223954313,38.127406656930845,1.1876749161193607,39.7774374297253,2.720836115670215,2.204605535958957,0.32726559577525427,0.39427288573789543,-1.87398088565835,-1.87398088565835,0.020852555282666,-1.87398088565835,-0.020852555282666,linear,100,0.5,1.0,100,100,0.07,1000
1.0,0.29073000000000004,0.10375351608755158,0.41737633348303915,0.10375351608755158,1.435614946799571,-0.2402349466564614,0.01400318143383341,0.9752425285030868,0.01400318143383341,3.354461281956066,0.11367645523706045,29.073,3.1374625097361726,0.0,0.03137462509736172,0.005436444896156586,0.01658874020222505,0.0018172728562225178,0.1733905205309581,0.0032383893333035865,0.8010395247513417,5.9267673949167,42.18320467407584,39.63673350996035,1.1386633898786056,44.780108376636576,2.7835658288993477,2.545624390947289,0.4246269722287738,0.4949291785662359,-2.0947864953018698,-2.0947864953018698,0.015860791484537024,-2.0947864953018698,-0.015860791484537024,linear,100,0.5,1.0,100,100,0.08,1000
1.0,0.2829,0.09234052808057883,0.4307217692901617,0.09234052808057883,1.5225230445039295,-0.2309725081183695,0.01092572896826242,1.063478589078063,0.01092572896826242,3.759203213425461,0.1040612927329212,28.29,3.041693607186628,0.0,0.03041693607186628,0.004594743061253852,0.017071276958040834,0.0013445283169486615,0.18254408812635786,0.002398955842062254,0.8779573465376157,6.576482467669025,51.46968574543679,40.76423679850543,1.1093849913192624,49.09217937504739,2.8029669788016927,2.8773245755849213,0.5055321311243666,0.5840459581096473,-2.3076338525865014,-2.3076338525865014,0.01256667261508557,-2.3076338525865014,-0.01256667261508557,linear,100,0.5,1.0,100,100,0.09,1000
