"N","qN","R","qR","phiN","Chi","Gamma","Mu","Sigc","taninv","K","sigK","M","sigM","error"
0.,0.,0.5,0.26,5.856426454897701e-14,0.5,1,0.5,0.028867513459481294,1,0.5,0.1,1,0.1,3.318376558478797e-20
0.00001876484477073658,0.0008685295454690448,0.9999906176656436,1.0099817715209674,7.85261183855468e-7,0.9999812354193154,1,0.5,0.028867513459481294,1,1.,0.1,1,0.1,6.806650419064157e-17
0.11028165349664092,6.043637283577921,1.4216111839996033,2.039102836823563,0.0037511030888652264,1.3473189056485024,1,0.5,0.028867513459481294,1,1.5,0.1,1,0.1,1.0861476848889005e-13
0.6163501835344273,44.20854720680547,1.5288473328889025,2.3935353842861407,0.015738465167703497,1.1686870836407555,1,0.5,0.028867513459481294,1,2.,0.1,1,0.1,1.9297847383469116e-12
9.385695327656652e-6,0.00021141084247667115,0.4999953071963814,0.2599952956762281,8.072309392592736e-7,0.49999061443680765,1,1.,0.05773502691896259,1,0.5,0.1,1,0.1,1.4582268365760662e-17
0.30800644950193035,10.97751117922695,0.7645222241685317,0.602840125677689,0.015826686186118544,0.5844942312475986,1,1.,0.05773502691896259,1,1.,0.1,1,0.1,1.8546096085130933e-12
0.8914551324759242,47.21495592777107,0.7930402229718728,0.6593746196566417,0.03047307783045733,0.4192751968341851,1,1.,0.05773502691896259,1,1.5,0.1,1,0.1,1.0795853788930905e-11
1.4886969823919618,104.56852165641537,0.8036333929563976,0.6837867782153558,0.03819141901605261,0.3229133151373058,1,1.,0.05773502691896259,1,2.,0.1,1,0.1,6.46453871058177e-11
0.03658549154222643,0.6483165229798887,0.4739883545928919,0.2346332592447462,0.003847460682387005,0.44932992057935406,1,1.5,0.08660254037844388,1,0.5,0.1,1,0.1,6.357486663471529e-15
0.5941481362750088,20.887262223845124,0.5287585973064644,0.29462689874505177,0.030596573766502877,0.27958565422549975,1,1.5,0.08660254037844388,1,1.,0.1,1,0.1,8.175806688443759e-14
1.192355035225737,62.57728670936484,0.5379173352210161,0.3081056414810424,0.04087887647132793,0.1929033730208527,1,1.5,0.08660254037844388,1,1.5,0.1,1,0.1,2.4550845681820514e-11
1.7938409989197859,125.13318766134253,0.5418935904902122,0.314614366762421,0.0461404155757853,0.14682433170718692,1,1.5,0.08660254037844388,1,2.,0.1,1,0.1,2.3552662586178805e-11
0.15367640266314841,2.6724748256609447,0.3824522332173426,0.15516994658415623,0.01617814525475597,0.29253942138586525,1,2.,0.11547005383792518,1,0.5,0.1,1,0.1,1.7347422728016868e-13
0.7441258691650708,25.98391450700806,0.4018885969596858,0.1721674579873789,0.03839686280036597,0.16151444436622478,1,2.,0.11547005383792518,1,1.,0.1,1,0.1,1.14811834151917e-13
1.34528981418825,70.2799068978881,0.4064402210608461,0.1772929695604519,0.04620359571822019,0.1101291021973263,1,2.,0.11547005383792518,1,1.5,0.1,1,0.1,2.6778600831183784e-12
1.947865038215902,135.40883192984344,0.40851925428406727,0.17987637569163592,0.050175753276793245,0.08344399056040522,1,2.,0.11547005383792518,1,2.,0.1,1,0.1,1.5270992229636625e-9
0.2380346468718783,4.10805553168354,0.31346260109940605,0.1054943562641659,0.025064668906281173,0.19651760457601072,1,2.5,0.14433756729740646,1,0.5,0.1,1,0.1,2.588968507758295e-13
0.8354077836612553,29.053027659110164,0.3237797311059185,0.11253359460338344,0.04316881602165584,0.10483331427502089,1,2.5,0.14433756729740646,1,1.,0.1,1,0.1,2.9926815081005836e-13
1.4376551437391318,74.89742391691586,0.3265030449506222,0.11495922988983981,0.049431680077247464,0.07106949224135203,1,2.5,0.14433756729740646,1,1.5,0.1,1,0.1,3.1363847672906026e-11
2.040670389102943,141.56214721705754,0.32777879535549914,0.11621831539518832,0.05261305977839198,0.05371946934235109,1,2.5,0.14433756729740646,1,2.,0.1,1,0.1,2.3078176254635556e-10
0.29666545940266487,5.094713762540038,0.2645507715068091,0.07578118371685803,0.03126020886011932,0.13997422140969584,1,3.0000000000000004,0.17320508075688779,1,0.5,0.1,1,0.1,3.6590665195598527e-13
0.8966883159334704,31.099513801738805,0.27099794018424633,0.07920626134714373,0.046383412780346855,0.07343988358410436,1,3.0000000000000004,0.17320508075688779,1,1.,0.1,1,0.1,9.15263262053545e-13
1.4994508698056652,77.97304865353487,0.2728089859917239,0.08051413305101252,0.05159716835237149,0.04961649522522175,1,3.0000000000000004,0.17320508075688779,1,1.5,0.1,1,0.1,4.404708405993506e-12
2.1026854636659285,145.66120119499035,0.2736705757311398,0.0812108062906904,0.054245469643656175,0.03744779201050676,1,3.0000000000000004,0.17320508075688779,1,2.,0.1,1,0.1,1.2119182705250038e-10
0.339314205815694,5.8066085869303325,0.2285610092868713,0.0569179887869664,0.03578057591678635,0.10448026993246652,1,3.5000000000000004,0.20207259421636906,1,0.5,0.1,1,0.1,1.2445465395893799e-12
0.9406417335693192,32.560578402720715,0.23297825527140978,0.05873879074367848,0.04869481390158237,0.054278867429310186,1,3.5000000000000004,0.20207259421636906,1,1.,0.1,1,0.1,7.09464620317641e-13
1.5436896346576299,80.16799183098797,0.23426834489580653,0.05950773112991633,0.05315018104379893,0.036587771613480376,1,3.5000000000000004,0.20207259421636906,1,1.5,0.1,1,0.1,1.2562173620590438e-10
2.147049763883886,148.58644267624612,0.2348886122034549,0.05992782569543582,0.05541475865454509,0.027586330071432505,1,3.5000000000000004,0.20207259421636906,1,2.,0.1,1,0.1,1.3743729728203843e-10
