"N","qN","R","qR","phiN","Chi","Nu","Gamma","Mu","Sigc","taninv","K","sigK","M","sigM","error"
1.2816015312940996801e-8,3.3395439506810154521e-8,0.30500316619873047,0.17907415025052215,9.0971568579371947263e-12,-0.08498948129253496,4.2815448310007475e-8,1,1,0.05,1,0.5,0.1,1,0.1,3.7197385708272956225e-16
0.55750476450710629531,24.779078797673123289,0.7835908493312616,0.6760540813363393,0.03981501394919441536,0.6583810751017094,-24.189646668105468,1,1,0.05,1,1.,0.1,1,0.1,0.00029834220208272630966
0.086344518017211403716,0.0081882097762890293549,1.3882720142032667,1.9359252098943056,0.99928245328534640999,1798.8200360914104,-0.22220843291397843,1,1,0.05,1,1.5,0.1,1,0.1,2.6213000288008988149e-13
0.54718386024883861442,0.34104356243304784537,1.3202734811209211,1.7498926961811923,0.99622232907329296591,234.22700850152668,-1.7012936901626345,1,1,0.05,1,2.,0.1,1,0.1,1.3157997810768435746e-13
0.0016053895364440262315,2.5855745864902891504e-6,4.993566300836392,24.945677485596324,0.99999498644866441355,995041.7956413645,-0.00040199114884580583,1,1,0.05,1,5.,0.1,1,0.1,2.5135718578483500946e-11
0.00018377981595709126303,0.0014233723370721901615,0.5506227369160115,0.31833137567273684,0.00004571443664243726688,0.651910816875667,-0.0070123758432982025,1,1,0.1,1,0.5,0.1,1,0.1,8.2848448526963398414e-14
0.457172043454267985,6.8449326652027291298,0.7924235783596014,0.6785906021466854,0.054558348445705398256,0.6553240852690034,-8.32539954995089,1,1,0.1,1,1.,0.1,1,0.1,8.4112961324046777984e-12
1.1197998319463865725,26.352954780080771709,0.8182710224981253,0.7372324710229746,0.083973105565134391949,0.45216286765237546,-18.57142891921263,1,1,0.1,1,1.5,0.1,1,0.1,1.3943319396991117497e-10
0.46106593168671149807,0.2526230027448990183,1.3905565693356934,1.94285346401446,0.98859701908315481749,84.85315091424901,-1.1650681305661967,1,1,0.1,1,2.,0.1,1,0.1,3.664472166145337454e-15
8.9942097598256930501e-6,8.5884200723273973033e-10,5.00004992261529,25.010499062705563,0.99999988753698302773,4.4460786552373014e7,-2.24917273192867e-6,1,1,0.1,1,5.,0.1,1,0.1,1.2655264022759185115e-14
0.00037924373496503995115,0.0016871837601720857401,0.5351161260464323,0.2988482482171113,0.00016233368658418102379,0.6054410721934036,-0.011916651919095049,1,1,0.15000000000000002,1,0.5,0.1,1,0.1,3.7057994116311322986e-17
0.39783210404728366624,3.6442313779413571427,0.7767943869527869,0.6437067962715518,0.076863004205716605266,0.6044867472267704,-5.651295972866918,1,1,0.15000000000000002,1,1.,0.1,1,0.1,6.070166822697760928e-14
0.9910114689383492994,14.545965257817849558,0.8085901638575783,0.7126235368893007,0.11775100992423125784,0.41750994996013235,-12.534738919047205,1,1,0.15000000000000002,1,1.5,0.1,1,0.1,2.0738094104642274199e-12
1.5985415476661514961,32.325031756961419573,0.8211720283279735,0.7435284810978292,0.1370188946219387008,0.3157538081094081,-19.286318940463453,1,1,0.15000000000000002,1,2.,0.1,1,0.1,5.3521821139718609562e-11
2.7950896861482459591e-6,5.8071855959462687278e-11,5.000006388872862,25.010063830617103,0.99999992135033472398,6.35734781608765e7,-6.991034977893523e-7,1,1,0.15000000000000002,1,5.,0.1,1,0.1,2.5690119091972605263e-16
0.0012324869322911773648,0.0039211029102324058125,0.5307585858693642,0.2937018343043955,0.00073157296594214123133,0.5925436452036024,-0.0308657839748989,1,1,0.2,1,0.5,0.1,1,0.1,4.0469840595622072602e-19
0.38450668119743197225,2.6462517345848138517,0.7594524154675222,0.615951868237353,0.09809525630623911994,0.5597898486311977,-4.380896534034261,1,1,0.2,1,1.,0.1,1,0.1,7.4758551579461202098e-15
0.9421776456558050383,10.508938472375558731,0.795412813987062,0.6924602841608379,0.14600945426122099598,0.3871063732584823,-9.429543424471479,1,1,0.2,1,1.5,0.1,1,0.1,5.6450935020631382249e-13
1.5167651119181527196,23.450461772824473732,0.8100653550722758,0.727954012504913,0.16844494935615048337,0.29275740379046095,-14.384345807759122,1,1,0.2,1,2.,0.1,1,0.1,7.4103714604220666584e-12
0.00069329770840712063938,5.1042820350259783067e-7,4.997098005886073,24.98097483520758,0.99996534757678036518,144133.81548416923,-0.00017344391810792837,1,1,0.2,1,5.,0.1,1,0.1,2.1548097830845652997e-16
0.0034343406024401825965,0.0087529785259606213616,0.5288384631408007,0.29164908594086664,0.0025210567486710239123,0.5871286285552161,-0.0687019947877451,1,1,0.25,1,0.5,0.1,1,0.1,6.1854573294522226497e-20
0.38416419346407131553,2.184964023838576841,0.7428358966869579,0.5921815222988915,0.11779798693463640481,0.5212744656361996,-3.615691761640158,1,1,0.25,1,1.,0.1,1,0.1,3.3671181250292522605e-15
0.91924614010596489192,8.5287250587987051403,0.7820970506916611,0.6747421954842293,0.17004236233981680228,0.36128042471281807,-7.530653783967777,1,1,0.25,1,1.5,0.1,1,0.1,7.3387372855590797508e-14
