"N","qN","R","qR","phiN","Chi","Gamma","Mu","Sigc","taninv","K","sigK","M","sigM","error"
0.0000187062059272351,0.00016055154007273186,0.4999906470719942,0.25999067439466883,4.205351091135512e-6,0.499981294318943,1,1,0.1,1,0.5,0.1,1,0.1,3.170366131077255e-17
0.2962452145476167,4.38227688432865,0.7714589714794011,0.6166225581647975,0.03613110602776698,0.5951489446760555,1,1,0.1,1,1.,0.1,1,0.1,3.729947745541508e-15
0.8585991850526444,19.00099606504434,0.8070594305988102,0.6900672423342402,0.06888739017981799,0.4342299496789839,1,1,0.1,1,1.5,0.1,1,0.1,1.9204223829333158e-14
1.4366561289078483,42.2673948819334,0.8207969833217439,0.7233529864990118,0.08611390826368115,0.33685384391503753,1,1,0.1,1,2.,0.1,1,0.1,2.191058788280297e-14
4.939489946367089,360.6241945570849,0.8418231270949905,0.7813929500454619,0.1179845742213479,0.1417332354623977,1,1,0.1,1,5.,0.1,1,0.1,1.1977527552438527e-9
0.00008703186571457288,0.0004072793314448489,0.4999564878540859,0.25995703948616006,0.000035639737306025765,0.49991297949478547,1,1,0.15000000000000002,1,0.5,0.1,1,0.1,3.9761879585610385e-17
0.3080156809801831,2.6705268423079356,0.7645168284608282,0.6108579439114061,0.06323146124687617,0.5844859809998034,1,1,0.15000000000000002,1,1.,0.1,1,0.1,3.011406515709798e-16
0.8576969737923723,11.135404409459392,0.8074513880150452,0.7022092407892317,0.11531023503887694,0.43465182933828206,1,1,0.15000000000000002,1,1.5,0.1,1,0.1,6.65205122387376e-17
1.4238228268204813,24.57525904945168,0.825142818967324,0.7466449814673147,0.1427332026749601,0.34043033584667104,1,1,0.15000000000000002,1,2.,0.1,1,0.1,1.4883479103771301e-15
4.8576591678063,207.95202554121298,0.8535832927050457,0.8282507788549923,0.1934532197956294,0.14572088751703757,1,1,0.15000000000000002,1,5.,0.1,1,0.1,1.9111200929348233e-11
0.00039741297716934965,0.0013040457531791265,0.4998013724485819,0.2598064881258685,0.00023023598216748153,0.4996028238029721,1,1,0.2,1,0.5,0.1,1,0.1,8.252911683092847e-18
0.3259731738262945,2.047358694632456,0.7541630703691764,0.6009415701591406,0.09134795074946134,0.5687619367086634,1,1,0.2,1,1.,0.1,1,0.1,2.2911237889704767e-17
0.8648716715134203,8.097732497188163,0.8043448902747758,0.7101034917157159,0.15904405296522733,0.4313138016740942,1,1,0.2,1,1.5,0.1,1,0.1,1.9786575218776912e-17
1.4197880849528277,17.628254515460146,0.8265186577439442,0.7671068443744529,0.1948721228094874,0.3415665457994255,1,1,0.2,1,2.,0.1,1,0.1,2.2059938187334348e-16
4.78519066070129,146.59726773232777,0.8642757504890758,0.878145902543404,0.2614382849846082,0.14939451457669106,1,1,0.2,1,5.,0.1,1,0.1,2.759578105336216e-14
0.001370299285044285,0.0035683102585549855,0.4993157879327844,0.2593443566106302,0.000991706178294971,0.4986325121578748,1,1,0.25,1,0.5,0.1,1,0.1,5.939668744421983e-22
0.3433349911296857,1.7219180759747248,0.7444159547716717,0.5927454266563124,0.11933105848569814,0.5541551137186195,1,1,0.25,1,1.,0.1,1,0.1,6.166198300343103e-18
0.8698740166650074,6.453035164866843,0.8021930817966592,0.7206034117580845,0.19956878217660767,0.4290091603216144,1,1,0.25,1,1.5,0.1,1,0.1,2.0237922268218086e-18
1.4109727427693441,13.819649067001093,0.8295406930659517,0.7921091664744305,0.2423463385141405,0.34406888072616976,1,1,0.25,1,2.,0.1,1,0.1,9.532910082788041e-18
4.687442981597424,112.24268101694986,0.8791296925838643,0.9407919881209098,0.32246552462289474,0.15457380327651998,1,1,0.25,1,5.,0.1,1,0.1,4.502499888339765e-14
0.003508042100855219,0.007751872512873624,0.4982521106191081,0.2583573633615517,0.002965801662752232,0.496510331472792,1,1,0.30000000000000004,1,0.5,0.1,1,0.1,6.840665079386666e-23
0.35799656521109335,1.51105995088423,0.7363788875596716,0.587664389536243,0.14658073390646864,0.5422538660436195,1,1,0.30000000000000004,1,1.,0.1,1,0.1,4.924832605342347e-19
0.8695632299671404,5.375311330390252,0.8023264343011092,0.735686732253132,0.23698323047604541,0.42915180478555454,1,1,0.30000000000000004,1,1.5,0.1,1,0.1,1.4318156976365363e-19
1.3932260506616203,11.304379875908499,0.8356920565222368,0.8241821905610971,0.28558747149241465,0.34919060666718266,1,1,0.30000000000000004,1,2.,0.1,1,0.1,7.433094640880233e-18
4.552916274341377,89.14045236626554,0.9004277667761239,1.0220412269770118,0.37759715349286727,0.16215403263628753,1,1,0.30000000000000004,1,5.,0.1,1,0.1,1.2944306102305027e-16
0.007051878825381731,0.013748322033587574,0.4964987509711977,0.2567808223711243,0.00670085459893649,0.4930220194319188,1,1,0.35,1,0.5,0.1,1,0.1,3.1925050472853998e-22
0.3693721388717725,1.354389277324123,0.7302616809656295,0.5857988233495824,0.17275183944268896,0.5332821226867468,1,1,0.35,1,1.,0.1,1,0.1,6.787381479423479e-20
0.8631494995805974,4.582330663134777,0.8050883733901419,0.7558608063886585,0.27141940291232947,0.43211152597865643,1,1,0.35,1,1.5,0.1,1,0.1,1.41465296499111e-19
1.3655642478166743,9.447523446518966,0.8454642488978787,0.8644310722926203,0.3249351507327851,0.35740489808222714,1,1,0.35,1,2.,0.1,1,0.1,6.345939449020235e-21
4.3780249575355565,71.83707122699151,0.929709333720016,1.127691693171696,0.427546465384292,0.17287188904122325,1,1,0.35,1,5.,0.1,1,0.1,1.4795330399913226e-15
0.01186245410527594,0.020903194908361192,0.4941383070114183,0.254737176035438,0.012373546543197111,0.48834533291222143,1,1,0.4,1,0.5,0.1,1,0.1,6.11335130538879e-22
0.377440625642613,1.2274599790928549,0.7259841051467995,0.5868786024612661,0.19763650806527344,0.5270529209257991,1,1,0.4,1,1.,0.1,1,0.1,7.207083501002988e-21
0.8507756272081666,3.955454380360042,0.8104710143944893,0.7811449562739892,0.3029744638045716,0.4379088434490883,1,1,0.4,1,1.5,0.1,1,0.1,1.326874614550467e-23
1.3283346221967223,7.980747662338014,0.858983060653478,0.9134934054654893,0.36060138989228874,0.36892594924480826,1,1,0.4,1,2.,0.1,1,0.1,2.185756676206181e-19
4.162937620633081,58.02959024071765,0.9684409085281371,1.264932520832008,0.4727021139448958,0.18757555866216075,1,1,0.4,1,5.,0.1,1,0.1,2.3839269291862583e-17
0.017580002967766212,0.02844942358096871,0.4913618570940397,0.2524372064890247,0.019823034793109873,0.48287294921380697,1,1,0.45000000000000007,1,0.5,0.1,1,0.1,7.860202427879321e-22
