phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,nu_test,chi_test,dynamics,size,K,mu,epsilon,sample_size
1.0,0.0,0.39552921776093114,0.0,0.39552921776093114,,-0.9208977536524657,0.4871167236627817,0.0,0.4871167236627817,,0.8581531552951299,0.0,0.0,0.0,0.0,0.056972998899731724,0.0,0.10758098360389365,0.0,0.3306733615602076,0.0,1.0,1.0,0.0,0.0,-6.176924496764778e-07,3.186808528924081e-07,0.0,0.0,0.0,0.0,,0.39552921776093114,0.0,-0.39552921776093114,linear,500,0.0,1.0,0.0,1000
0.5111178247734139,0.0,0.39724133292669944,0.0,0.7772010946845815,,-0.9210028782051725,0.49847148245020645,0.0,0.9752574813276883,,0.8624410648810713,0.0,0.0,0.08863437017055079,0.0,0.05741422749533724,0.0,0.10835945887800588,0.0,0.3406708058648256,0.0,1.0,1.0,0.0,0.0,-5.438051756601629e-08,9.265253779456692e-09,0.0,0.0,0.0,0.0,,0.3972413329266995,0.0,-0.3972413329266995,linear,500,0.0,1.0,0.20199999999999999,1000
0.5009485368314834,0.0,0.3981099821911047,0.0,0.7947123365389265,,-0.9207818735400441,0.4982716442459906,0.0,0.9946563521226666,,0.8741361129887675,0.0,0.0,0.053810486819993064,0.0,0.058369549881047054,0.0,0.10957705453694652,0.0,0.3397800863257889,0.0,1.0,1.0,0.0,0.0,-2.5787103564945844e-08,5.265128608791355e-09,0.0,0.0,0.0,0.0,,0.39810998219110466,0.0,-0.39810998219110466,linear,500,0.0,1.0,0.40399999999999997,1000
0.49855116514690984,2.43161094224924e-05,0.3942080068116665,2.0098820971561928e-05,0.7907072219869424,0.8265640124554844,-0.9215870180562888,0.49025314220450145,3.748829369796845e-05,0.9833557245022919,1.541706078328955,0.8955410420586629,0.0121580547112462,0.10959122417823675,0.050179295210694495,0.00021918244835647348,0.05853966343498225,0.00027307988719693383,0.11274501406644716,0.0007303758548930319,0.33485318957007454,3.7487889735364e-05,1.0000967445952964,1.0002116240711245,0.008378358762938205,0.1142776298393428,0.0005652814125372874,0.011192983929690628,0.0,0.0,0.0,-0.00048402220610986244,-0.03981082645253619,0.3939598653276931,-0.00048402220610986244,-0.3939598653276931,linear,500,0.0,1.0,0.606,1000
0.5020101522842639,0.0006517766497461929,0.3968213621876076,0.0007218278943783622,0.7904648150679369,1.1074773768889203,-0.9206575781115744,0.4911180824217798,0.0015883706371138588,0.9783030884675882,2.4369861021139427,0.921940777011975,0.32588832487309644,0.6048785150635778,0.04930810518598993,0.0012097570301271557,0.05645288391048836,0.0018196698332784552,0.1055097004646205,0.00629536758402524,0.3336508889333513,0.0015878496016047561,1.0033691900360617,1.007935196972179,0.31537750857916014,0.7899231784279388,0.028627090393534428,0.10840958551935291,0.0031084210267237366,0.001934034175551454,0.0020009783714020454,-0.00968099527301366,-0.03667607824584022,0.38995321567519675,-0.009680995273013662,-0.38995321567519675,linear,500,0.0,1.0,0.8079999999999999,1000
0.5014506172839506,0.002555555555555556,0.38568932649766263,0.003077311245886092,0.7691471766187156,1.2041652701293402,-0.9226740154021581,0.45852733731973794,0.007037129181029871,0.9144017805846935,2.75365924475082,0.9546615946902759,1.2777777777777777,1.2550310277672168,0.04998615682471056,0.0025100620555344334,0.050809784650981196,0.0036649894180437797,0.08813143263274482,0.01323540204549585,0.30977108074551735,0.0070276593365258145,1.015917215727254,1.0400419893399933,1.3786796693150056,1.6344941320891766,0.18300926850419866,0.3332428855208823,0.031122999633578285,0.018974749653508243,0.019221481789025715,-0.029155290741925046,-0.04223389359336981,0.3603694878047326,-0.02915529074192505,-0.3603694878047326,linear,500,0.0,1.0,1.01,1000
0.503967446592065,0.005833163784333672,0.3686733398950943,0.006755271291212797,0.731541972379648,1.158080167293718,-0.9266473734059345,0.4126442846270586,0.014506177315791444,0.81879154579814,2.4868455356510264,0.9885324618306657,2.9165818921668363,1.7519527588188388,0.0619185215798942,0.003503905517637678,0.0466214419612262,0.005119944626754565,0.06986965845949439,0.01733677669605506,0.27672425307765486,0.01446054362557356,1.0383976535287247,1.1015822052078734,3.1069417453582027,2.3431323080088906,0.5196614622100778,0.6010715175272343,0.09111314687680512,0.049929366234682526,0.04923919342679808,-0.0560114807554599,-0.05920353288453449,0.31665035235901173,-0.056011480755484996,-0.3166503361948755,linear,500,0.0,1.0,1.212,1000
0.5063746223564954,0.009448136958710978,0.3463631971353928,0.010723382552626799,0.6840058364764335,1.1349732332933713,-0.9324797165410997,0.362311772106692,0.02256647767557918,0.7155014412464356,2.3884579334736866,1.0219645870477563,4.724068479355489,2.1913486315781063,0.07704871296570165,0.004382697263156213,0.040652336413866466,0.0058977237818810474,0.05696652237704926,0.020927283367214555,0.24234430777684102,0.0224514867422092,1.0688711594455849,1.1914097940456656,4.977873056851809,2.735747967783168,1.045466071872207,0.895196504865285,0.1313079824237135,0.061466670224626374,0.061024893099492564,-0.08083779165717232,-0.08149434224931179,0.2709068368600532,-0.08083779165727693,-0.2709068666891254,linear,500,0.0,1.0,1.414,1000
0.5505805805805806,0.013281281281281282,0.3277913949809531,0.015410524005142435,0.5953558961983385,1.1603190745505956,-0.9373417645644563,0.31726778461659566,0.032852302842307106,0.576242235572567,2.4735793291728068,1.0500922831915371,6.64064064064064,2.498045279855872,0.14921638245197916,0.004996090559711743,0.03768679608309079,0.006739055902415681,0.048801950983083583,0.023331536933536946,0.20982058599303646,0.032614818592194034,1.1061818060865487,1.317102682154907,7.198942193465116,3.1269530906722802,1.8947642607263697,1.3046831963163499,0.16734898462842665,0.06332632853984063,0.06412291047421771,-0.10198432882215669,-0.10218891122701558,0.23351994347731472,-0.10198432882336006,-0.23351922400995612,linear,500,0.0,1.0,1.6159999999999999,1000
0.6119219219219219,0.016612612612612616,0.30744017780254923,0.01916011422565179,0.5024173293823864,1.1533474398304493,-0.9418892727136511,0.2765740737531819,0.04066132374156581,0.4519760836227588,2.4476176438795036,1.074186875097337,8.306306306306306,2.865742967019773,0.20798164889284368,0.005731485934039546,0.03559571541072739,0.007192807003034888,0.04162316204650255,0.023855143588296383,0.1820546108259188,0.04029421376442578,1.144395617054965,1.4547685290852235,8.978516006616948,3.3744965139239547,2.7608420584059195,1.6186000110209495,0.2145677437896699,0.06537531672653597,0.065307762635145,-0.11769603111344566,-0.11769603111344566,0.2040784128073477,-0.11769603111565952,-0.20408096424297686,linear,500,0.0,1.0,1.8179999999999998,1000
