"N","qN","R","qR","phiN","Chi","Nu","Gamma","Mu","Sigc","taninv","K","sigK","M","sigM","error"
0.084610156649887574289,0.09390519567682915001,0.45799878858155885,0.2283962045060976,0.13233382405701866798,0.38606941103716724,-0.34623444781968316,1,1.,0.99498743710662,1,0.5,0.1,1,0.1,1.1981399731532725935e-19
0.43570588726574551497,1.0987307733167348483,0.6191610301507517,0.4546463587540508,0.28724353769360418955,0.28225733214598536,-1.02794490886505,1,1.,0.99498743710662,1,1.,0.1,1,0.1,1.0239395407208013767e-17
0.91343996827016790898,4.0989894303401573598,0.6737844473560136,0.5763913281365247,0.33428532317330751342,0.18613343617146744,-1.8140853655559441,1,1.,0.99498743710662,1,1.5,0.1,1,0.1,6.4985623734315099318e-17
1.4938116112674813503,10.480087963752061683,0.6889077151342322,0.6336959607176473,0.34839012366609769312,0.12633108590632783,-2.785610630191806,1,1.,0.99498743710662,1,2.,0.1,1,0.1,2.7903831731932408808e-14
0.21532751311967573595,0.325000601260133987,0.32402694437959556,0.12174306526973679,0.2401412892007117689,0.16713701558328203,-0.7330576383163906,1,2.,1.4,1,0.5,0.1,1,0.1,3.6191327535682844835e-18
0.68763204951866055657,2.4103430087902416865,0.3668914190562505,0.16648294419333595,0.32309593225669510319,0.09067186549643542,-1.8180376293543177,1,2.,1.4,1,1.,0.1,1,0.1,3.5420004287856331327e-16
1.2374584878112835354,7.464563997782879145,0.3733126671571805,0.17923071366265458,0.33668185903204626419,0.05529027953971634,-3.106811181275153,1,2.,1.4,1,1.5,0.1,1,0.1,7.8253731586887836187e-14
1.7989703916669650191,15.48039710492215163,0.37605383308174034,0.1856353352023486,0.34257962896047455463,0.03963605478104841,-4.409760909489052,1,2.,1.4,1,2.,0.1,1,0.1,4.6013440704495358553e-13
0.29836249901718901182,0.54813736477220501749,0.240310577510278,0.06863264422043991,0.27113568726034735411,0.0876175188262796,-1.0634149076462422,1,3.,1.705872210923198,1,0.5,0.1,1,0.1,6.993210624783821277e-17
0.80526869035076019362,3.3184551147399648045,0.2566996258866831,0.08155510574938757,0.32193959628398841074,0.04450102633831757,-2.4860586996442815,1,3.,1.705872210923198,1,1.,0.1,1,0.1,1.5103022047055088616e-15
1.3497582015215122983,9.067430054064919369,0.25910149998732235,0.08496232627193459,0.33030181586633510398,0.02805346293477679,-4.046052314900361,1,3.,1.705872210923198,1,1.5,0.1,1,0.1,3.904648102598338328e-13
1.8982031449719157594,17.710370820962957872,0.26018346905942463,0.08667369972158515,0.33412398518149025518,0.02046443718631144,-5.610671715456944,1,3.,1.705872210923198,1,2.,0.1,1,0.1,2.8360018120210715822e-12
0.35154214165676985782,0.73668308111207206129,0.18899020746103418,0.04279850075848838,0.27945613141897207742,0.05350353464163467,-1.360191148325732,1,4.,1.9595917942265424,1,0.5,0.1,1,0.1,7.216038624906275691e-16
0.86763711940104768572,3.9096392782944856245,0.19771551855108802,0.04799357562031794,0.31758506207662204734,0.02722630347468427,-3.037666987221423,1,4.,1.9595917942265424,1,1.,0.1,1,0.1,1.3254391924888590014e-14
1.4086962499454958017,10.096517350450089635,0.19893953096329253,0.04930316192469656,0.32366488482784804151,0.017434301755187825,-4.834591692141485,1,4.,1.9595917942265424,1,1.5,0.1,1,0.1,8.483391781752481205e-13
3.9832647951004652656e-8,0.037937540304168695372,-4.664435451555669e7,6.527087797673594e15,0.10926008072117791484,-1.39933046125135e8,2.0333400014529724e-10,1,4.,1.9595917942265424,1,2.,0.1,1,0.1,0.0015265654348631534261
0.38816484384137268634,0.89651439522828987836,0.15523073461554715,0.028927878348409538,0.27993682552680395049,0.03610246063991932,-1.632411405963669,1,5.,2.179449471770337,1,0.5,0.1,1,0.1,2.678014544573151875e-16
0.91271133551488238398,4.4436434502245472931,0.160418177786321,0.031365086041085684,0.30981514762677867902,0.018295499244385654,-3.5650430050796778,1,5.,2.179449471770337,1,1.,0.1,1,0.1,2.0758327425153837207e-10
1.4466961989150796383,10.87151033163923826,0.16171420423337074,0.032144608914710424,0.31753342882282441152,0.012076391202866823,-5.535523136597208,1,5.,2.179449471770337,1,1.5,0.1,1,0.1,1.461161802807769709e-12
1.8846761628883837209,19.312348785607276274,0.15971728715742406,0.03104724322594666,0.32899193261502007408,0.008642345586040021,-8.014196933963966,1,5.,2.179449471770337,1,2.,0.1,1,0.1,0.00055838787847990625605
0.41505955458845791466,1.035557198991427364,0.13155586899742866,0.02076191608111941,0.27728916444288899017,0.026069202149530294,-1.8859321120222,1,6.,2.3748684174075834,1,0.5,0.1,1,0.1,1.3393683708199763471e-15
0.94696943983024705925,4.9284142369798638765,0.1348838371514367,0.022032468612437014,0.30137957231381583558,0.013142590894584458,-4.065872156448326,1,6.,2.3748684174075834,1,1.,0.1,1,0.1,6.0174610935774420807e-12
1.4821107115783100787,11.744886643207896953,0.13593942888837807,0.02249763838065971,0.30909771813492556926,0.008778252801978158,-6.2432196006762215,1,6.,2.3748684174075834,1,1.5,0.1,1,0.1,6.0341341027202580875e-9
2.0115452067951753369,21.432273116409246359,0.13625548209418203,0.022646285028463494,0.31322974028550292528,0.00655895261136573,-8.467386682691604,1,6.,2.3748684174075834,1,2.,0.1,1,0.1,4.8900142980019538583e-6
0.43583179546840918323,1.159672983151386819,0.11410087792834087,0.015589724648365642,0.27330188572102973413,0.019757985130090475,-2.1248045389825134,1,6.999999999999999,2.5514701644346145,1,0.5,0.1,1,0.1,6.4223958692018545446e-15
