phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,dynamics,size,K,mu,epsilon,sample_size
0.50326,0.0,0.39867384062623057,0.0,0.7921826503720356,,-0.9201876414083777,0.49873785225237033,0.0,0.9910142913252997,,0.8568540183877468,0.0,0.0,0.04975311447537732,0.0,0.056174250050053914,0.0,0.10738244109527417,0.0,0.33979702105270126,0.0,1.0,1.0,0.0,0.0,0.49883731854679353,0.11058180625378632,0.0,0.0,0.0,0.0,,0.50326,quadratic,500,0.0,1.0,0.0,1000
0.50261,0.0,0.39658372559738186,0.0,0.7890486174118737,,-0.9206463962275533,0.4937855290191635,0.0,0.9824427071072271,,0.8617815361123272,0.0,0.0,0.05192771803189507,0.0,0.06021494166336619,0.0,0.11339112575204534,0.0,0.336506877610464,0.0,1.0,1.0,0.0,0.0,0.5048952732573525,0.11397268578619076,0.0,0.0,0.0,0.0,,0.50261,quadratic,500,0.0,1.0,0.20199999999999999,1000
0.5001899999999999,0.0,0.3978508695136848,0.0,0.7953994872222252,,-0.9202673582590551,0.5010238060781604,0.0,1.001666978704413,,0.873296024007155,0.0,0.0,0.04976810122960289,0.0,0.0594290364809972,0.0,0.11282935403655892,0.0,0.34273849170536536,0.0,1.0,1.0,0.0,0.0,0.5090457252692583,0.112784954693757,0.0,0.0,0.0,0.0,,0.5001899999999999,quadratic,500,0.0,1.0,0.40399999999999997,1000
0.50364,2.4e-05,0.3992389520795588,2.412782061004108e-05,0.7927069972193607,1.0053258587517118,-0.9199994615363357,0.5022701095971245,5.9448993472554234e-05,0.9972800206439608,2.477041394689759,0.8934427475928584,0.012,0.1177115117564973,0.05190905893964945,0.00023542302351299457,0.05815414299795707,0.00034588186602783465,0.11162742160304706,0.0010536478972565512,0.34287836873954025,5.944841132082684e-05,1.0000969408066092,1.000219675297242,0.009409110171038841,0.13449408577338118,0.4964119318602612,0.11287049832234328,5.111028075594874e-05,1.3880589554608885e-05,1.2793269321827002e-05,-0.00048376986448807867,-0.04397907858982534,0.5035200000000001,quadratic,500,0.0,1.0,0.606,1000
0.50257,0.0006120000000000001,0.39857022405582765,0.0006237637892010097,0.7930640986446219,1.0192218777794275,-0.9207480885724616,0.49995980211880603,0.001258197188184121,0.9948062998563503,2.0558777584707855,0.9234496981303513,0.306,0.615112997749194,0.04886200057304245,0.0012302259954983883,0.05589788867090105,0.0017343206280917248,0.10758835011661927,0.005944090652628269,0.3411015786148934,0.0012578081069194026,1.0026013136465135,1.0061495394989521,0.27090838935588446,0.7538896303086469,0.4930256992427318,0.10970419622552015,0.003462738640685449,0.0017998823587680461,0.0018141074583941672,-0.007789415417446235,-0.03259169630730642,0.49951,quadratic,500,0.0,1.0,0.8079999999999999,1000
0.50049,0.0028920000000000005,0.3877130471387088,0.0026419855791988004,0.7746669206951365,0.9135496470258642,-0.9218414393346596,0.47417660328913286,0.004659333106480571,0.9474247303425303,1.6111110326696303,0.9562923682233796,1.446,1.416715920712406,0.05046840496786084,0.002833431841424812,0.05064964027954938,0.003295591522794089,0.0914023333443689,0.008840509470502498,0.3238551963675502,0.004652353018679876,1.0131729604764201,1.0318027414627848,1.1962638797263045,1.4913550688239385,0.5024646410032644,0.11067019618086454,0.03545304936010903,0.015467881365788883,0.01563153180881189,-0.026008030112689224,-0.0369432245918881,0.48602999999999996,quadratic,500,0.0,1.0,1.01,1000
0.49782000000000004,0.006950000000000001,0.37038098278493753,0.005816063170935018,0.7440058309930045,0.8368436217172687,-0.9271119329752567,0.43265510859642986,0.009071667090069235,0.8690994909735041,1.3052758402977314,0.9949380962869188,3.475,2.3378141500127847,0.05187145264979573,0.00467562830002557,0.0474260504581988,0.0046088648606877215,0.07599022610209584,0.010403468796044398,0.29547303618769366,0.009037840499260928,1.0311491414215432,1.0782057429416898,2.6869538211163033,2.1498438907647945,0.5129417214642538,0.11493898207477524,0.0861889417075647,0.028916525619786557,0.028632248168945176,-0.04682167025610267,-0.050400075625514185,0.46307000000000004,quadratic,500,0.0,1.0,1.212,1000
0.49792000000000003,0.012254000000000001,0.35334388868292393,0.00964052478165721,0.7096398792635844,0.7867247251229978,-0.9307844533305748,0.3932246641123909,0.014323564943008411,0.7897346242617103,1.1688889295747038,1.0301361207494886,6.127,2.859173132218474,0.04823353190468225,0.005718346264436949,0.038412138837381676,0.005505851773093684,0.05898845042817952,0.012264668029498146,0.2683727604428203,0.014230625224942665,1.0576746477076135,1.1503270514895447,4.486433776600505,2.576317237576126,0.518841122217581,0.1087145764443832,0.11322825892406405,0.028631863813115686,0.02878808249349622,-0.06647210154712022,-0.06714353691628305,0.43665000000000004,quadratic,500,0.0,1.0,1.414,1000
0.49810000000000004,0.017119999999999996,0.33379821661789255,0.012388617583264616,0.6701429765466625,0.7236342046299424,-0.9370511743366942,0.35095268451961315,0.016343717966069204,0.7045827836169709,0.9546564232517057,1.06521813319895,8.56,3.4188302092967415,0.049799497989437606,0.006837660418593482,0.03698880062341126,0.00593375382877362,0.05129848596059108,0.011646220124820203,0.23953143510232763,0.016190240120444833,1.0796329664603044,1.2129016953329,5.800705829927356,2.79258202879105,0.5333029186022242,0.11408792231103926,0.12510861737362491,0.023319993057386305,0.023614856437280708,-0.07637602135485869,-0.07637602135485869,0.4125,quadratic,500,0.0,1.0,1.6159999999999999,1000
0.49805999999999995,0.022562000000000006,0.31425076498128574,0.015144983210565802,0.6309496144667023,0.6712606688487636,-0.9405988914494653,0.3119026629121118,0.018537084027595022,0.6262351180823833,0.8216064190938315,1.0918143897150625,11.281,3.6447275618350408,0.050221871729357125,0.007289455123670081,0.03432265524785455,0.0059708179831279165,0.04382631546987617,0.011001377587072378,0.21314911962078856,0.0183077135111467,1.105514583670995,1.2894774472755872,7.132390403032472,2.8387508325214927,0.5427612452727323,0.11151899679953213,0.12692274063471415,0.01801731540813072,0.017979409239627497,-0.08558261230509841,-0.08558261230509841,0.38525,quadratic,500,0.0,1.0,1.8179999999999998,1000
