phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,dynamics,size,K,mu,epsilon,sample_size
0.50462,0.0,0.3992140108607293,0.0,0.7911180905646412,,-0.9999788077133676,0.5003004769469104,0.0,0.9914400478516711,,1.0099624338964561,0.0,0.0,0.050890623890850466,0.0,0.05880071044802772,0.0,0.11189481924772554,0.0,0.34092865047939985,0.0,1.0,1.0,0.0,0.0,0.499160973883467,0.11253238430210848,0.0,0.0,0.0,0.0,,0.50462,quadratic,500,0.0,1.0,0.0,1000
0.46741000000000005,0.04754400000000001,0.2111228065049863,0.020779920215505135,0.4516865418048101,0.43706714234193866,-0.8042672869953035,0.13575353367975296,0.016012117450583226,0.2904378033840802,0.3367852400004886,0.7573162246632472,23.772,4.103902532955674,0.04639603323561186,0.00820780506591135,0.023333676534250596,0.004808357114987751,0.021396845881297907,0.006099191208684219,0.09118069425321106,0.015580312366420468,1.2596357426046543,1.7626563944168745,9.872519194610337,2.257491841593788,0.6703396425992894,0.1156879634233121,0.2429037841425283,0.017580493072148033,0.017104405804118872,-0.051233522735422234,-0.051233522735422234,0.22983854692230074,quadratic,500,0.0,1.0,0.01,1000
0.43327,0.054344000000000024,0.14324369380164792,0.01942317930652436,0.3306106903354673,0.357411661020984,-0.7302565481683239,0.06716566572099686,0.012139051925178746,0.15502034694531555,0.22337428097266943,0.6441070414503046,27.172,4.2360849849831865,0.04352938203099144,0.008472169969966373,0.01377722806942146,0.003811410203833907,0.0091073125663405,0.003966760001584838,0.04664690990705659,0.01176179203080535,1.3795296268496662,2.1214327183956456,9.324633754952806,1.8374922481459335,0.741710811890596,0.12330805202311247,0.1528657809959734,0.01085163055412307,0.01075269008321665,-0.06991186055611279,-0.06991186055611279,0.16154999999999997,quadratic,500,0.0,1.0,0.02,1000
0.40747000000000005,0.05650600000000002,0.11069101051069412,0.017736158767439822,0.2716543807168482,0.31388098197430037,-0.682423505094026,0.042296104207025974,0.00977963230608636,0.10380176260099143,0.17307245789980458,0.5729272830710669,28.253,4.025542323712421,0.04217225509739786,0.008051084647424843,0.009606487970992207,0.0030213486505779514,0.004877574620565882,0.002905887657147529,0.030043604399147376,0.009465060978262527,1.4614115270184036,2.374582463254221,8.477818065001939,1.4455060285260775,0.7911594999266426,0.1251928808126556,0.12030746088327564,0.007442957399453544,0.007641261531836529,-0.08024286914507922,-0.08024286914507922,0.12494000000000001,quadratic,500,0.0,1.0,0.03,1000
0.38799,0.056216000000000016,0.09022364002462535,0.015896485805433798,0.23254114803120016,0.282775113943251,-0.6522645408338976,0.029666492591624134,0.007936018372591462,0.07646200312282309,0.14117010055129253,0.5279815123822194,28.108,3.8972215744040013,0.041687646851315555,0.007794443148808003,0.007554531530119153,0.0025341621344008585,0.003080051014769775,0.0023860060679330745,0.021526187372330956,0.007683320111629105,1.5112446891547728,2.5274273613707807,7.569711231702733,1.2114268908308425,0.813050490986094,0.1276798082123386,0.12103738313067924,0.007266052945672168,0.0070665602604597704,-0.07556130340895222,-0.07556130340895222,0.10691,quadratic,500,0.0,1.0,0.04,1000
0.37360000000000004,0.05636400000000002,0.07720259262397257,0.01467175166786707,0.20664505520335275,0.2603035921486599,-0.6263109681923031,0.022653721289673356,0.0067923800555172165,0.06063629895522848,0.12050919124826515,0.49033454819228317,28.182,3.8281687528111923,0.04009289213813341,0.007656337505622385,0.005968353665519586,0.002244764780090007,0.0022383512572777178,0.002103991612413528,0.016693480981810293,0.006577119758513657,1.556738940349529,2.6718265659138596,6.9676444762216345,1.0683137944554157,0.8345781611691276,0.1310699101116447,0.11989377370093716,0.006563037290787776,0.006337094326159167,-0.07370584258259105,-0.07370584258259105,0.09178000000000001,quadratic,500,0.0,1.0,0.05,1000
0.35559999999999997,0.05468000000000002,0.06680297144458569,0.01345230471256448,0.18785987470355925,0.24601874017125963,-0.6105620690581031,0.01796286465115591,0.005840231598493525,0.050514242551057104,0.10680745425189331,0.466890744348632,27.34,3.873293172482558,0.04038118373698324,0.007746586344965117,0.005107775475984232,0.0019907291753899856,0.0017011481980923932,0.001671878711201004,0.013500227657329776,0.00565926709641384,1.5905973715653428,2.778175646823126,6.3637521072755945,0.9520675679123732,0.8531659093249313,0.13128814086162102,0.12601283964572174,0.007082371940957895,0.006761925370963274,-0.07080952070115441,-0.07080952070115441,0.08220000000000001,quadratic,500,0.0,1.0,0.06,1000
0.34615,0.05436000000000001,0.0594043873167316,0.012597720607851286,0.1716145812992391,0.23174614804730106,-0.5942306339897137,0.014667229082280856,0.005172561716178277,0.04237246593176616,0.095153821121749,0.44356293274376113,27.18,3.8219890109732133,0.03933290607112574,0.0076439780219464265,0.004573786167816386,0.0018031861517034246,0.0013672320323658614,0.0014204062238494645,0.011138347849804593,0.005013859151664796,1.6250434828658442,2.889653563393642,5.94779449421487,0.8507652406142951,0.867381184160954,0.12863688218734878,0.12361158941005489,0.006369973219840999,0.006305467977996101,-0.07130295463028259,-0.07130295463028259,0.07435000000000001,quadratic,500,0.0,1.0,0.07,1000
0.33483999999999997,0.05335400000000001,0.05363663015211626,0.01180251593792785,0.16018585041248434,0.22121145439756815,-0.5804031377678237,0.012415489145321396,0.004665352214575885,0.03707887093931847,0.08744147045349715,0.4244977489842061,26.677,3.727287351412553,0.038068023326671425,0.007454574702825106,0.003841978063135296,0.0016745699456461767,0.0011097308343954945,0.0013461401034134935,0.009538601051246489,0.004526052832110844,1.652200023832382,2.9784570999095954,5.568621970834181,0.7782539606442713,0.8812442522560243,0.13221840296828402,0.12705171290695708,0.005982283441545986,0.0057109462275921246,-0.06562755665128596,-0.06562755665128596,0.06807,quadratic,500,0.0,1.0,0.08,1000
0.32606999999999997,0.05276200000000002,0.0490322577041675,0.011155138412395668,0.15037340971008525,0.2114237218527666,-0.56804329971253,0.010722044422384315,0.004201105394498647,0.0328826461262438,0.07962369497931555,0.4074688202894111,26.381,3.6603058615367106,0.037763144731338245,0.007320611723073422,0.003543665848889505,0.0015296769771987978,0.0009576142943966619,0.0011662829612764812,0.008317882126816422,0.004076668281498942,1.67622262870951,3.055604251461698,5.241035415545281,0.7141199164826975,0.8857253103237929,0.133285908543103,0.12578769200670575,0.006064663838224728,0.005871964223181634,-0.06656371906753598,-0.06656371906753598,0.06226,quadratic,500,0.0,1.0,0.09,1000
