phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,nu_test,chi_test,dynamics,size,K,mu,M,S,epsilon,sample_size
1.0,0.0,0.4999524501312341,0.0,0.4999524501312341,,-0.7500790624032381,0.2599584043964972,0.0,0.2599584043964972,,0.572952210949513,0.0,0.0,0.0,0.0,0.01029015432156233,0.0,0.010360062313825202,0.0,0.010005952004273087,0.0,1.0,1.0,0.0,0.0,2.610783056411492e-10,1.0150854609680649e-09,0.0,0.0,0.0,0.0,,0.4999524501312342,0.0,-0.4999524501312342,linear,100,0.5,1.0,100,100,0.01,1000
1.0,0.0,0.4996346591738557,0.0,0.4996346591738557,,-0.7248905398248002,0.25966818795733787,0.0,0.25966818795733787,,0.5357104388786745,0.0,0.0,0.0,0.0,0.009854057582710813,0.0,0.00994088459470272,0.0,0.010033395309562905,0.0,1.0,1.0,0.0,0.0,2.464057263729002e-10,7.634186759201111e-10,0.0,0.0,0.0,0.0,,0.4996346591738556,0.0,-0.4996346591738556,linear,100,0.5,1.0,100,100,0.011,1000
1.0,0.0,0.4993519799484033,0.0,0.4993519799484033,,-0.7004412641023013,0.25936069886590474,0.0,0.25936069886590474,,0.5009696466999793,0.0,0.0,0.0,0.0,0.010381814022906399,0.0,0.01046578257746329,0.0,0.01000829898751416,0.0,1.0,1.0,0.0,0.0,3.1944944476345336e-10,6.000238540079543e-10,0.0,0.0,0.0,0.0,,0.4993519799484033,0.0,-0.4993519799484033,linear,100,0.5,1.0,100,100,0.012,1000
1.0,0.0,0.49968786190494074,0.0,0.49968786190494074,,-0.6745230691531602,0.25969198683301387,0.0,0.25969198683301387,,0.4654059205607992,0.0,0.0,0.0,0.0,0.00961201270601408,0.0,0.009711178933381387,0.0,0.010004027497882737,0.0,1.0,1.0,0.0,0.0,3.117482592074339e-10,3.891866302230274e-10,0.0,0.0,0.0,0.0,,0.49968786190494074,0.0,-0.49968786190494074,linear,100,0.5,1.0,100,100,0.013000000000000001,1000
1.0,0.0,0.49986208823340755,0.0,0.49986208823340755,,-0.6500797699469572,0.2597714220343934,0.0,0.2597714220343934,,0.43317638183898066,0.0,0.0,0.0,0.0,0.009679405768752697,0.0,0.009733864889635842,0.0,0.009909314781330461,0.0,1.0,1.0,0.0,0.0,2.7576727745781683e-10,2.928470348766611e-10,0.0,0.0,0.0,0.0,,0.49986208823340755,0.0,-0.49986208823340755,linear,100,0.5,1.0,100,100,0.014,1000
1.0,0.0,0.5000101109446377,0.0,0.5000101109446377,,-0.6251296100151811,0.26002271648913344,0.0,0.26002271648913344,,0.40133863961169397,0.0,0.0,0.0,0.0,0.010419542567448516,0.0,0.010474539970919147,0.0,0.010012605442264573,0.0,1.0,1.0,0.0,0.0,2.406294909488389e-10,2.412745159236291e-10,0.0,0.0,0.0,0.0,,0.5000101109446375,0.0,-0.5000101109446375,linear,100,0.5,1.0,100,100,0.015,1000
1.0,0.0,0.49946905207627573,0.0,0.49946905207627573,,-0.6003713001036831,0.2594569576618145,0.0,0.2594569576618145,,0.37109462518792374,0.0,0.0,0.0,0.0,0.010083636418571216,0.0,0.010179769966009186,0.0,0.00998762367984103,0.0,1.0,1.0,0.0,0.0,1.7416861311032816e-10,1.7627664707087055e-10,0.0,0.0,0.0,0.0,,0.4994690520762758,0.0,-0.4994690520762758,linear,100,0.5,1.0,100,100,0.016,1000
1.0,0.0,0.4994313112658407,0.0,0.4994313112658407,,-0.5753935264983675,0.2594474778846465,0.0,0.2594474778846465,,0.34176485625528796,0.0,0.0,0.0,0.0,0.009800742768031287,0.0,0.009865793094086462,0.0,0.010015843211929411,0.0,1.0,1.0,0.0,0.0,1.3300042163124576e-10,1.3471727063993364e-10,0.0,0.0,0.0,0.0,,0.4994313112658407,0.0,-0.4994313112658407,linear,100,0.5,1.0,100,100,0.017,1000
1.0,0.0,0.49978057709966983,0.0,0.49978057709966983,,-0.5499760741715196,0.25980580902561623,0.0,0.25980580902561623,,0.3132231932010547,0.0,0.0,0.0,0.0,0.010131541048068446,0.0,0.01018696446305648,0.0,0.010025183779537228,0.0,1.0,1.0,0.0,0.0,1.0071125229696626e-10,1.1255798566071657e-10,0.0,0.0,0.0,0.0,,0.4997805770996698,0.0,-0.4997805770996698,linear,100,0.5,1.0,100,100,0.018000000000000002,1000
1.0,0.0,0.49976058434251613,0.0,0.49976058434251613,,-0.5258515800900958,0.2597137455081049,0.0,0.2597137455081049,,0.28735008331341827,0.0,0.0,0.0,0.0,0.00984360901424986,0.0,0.00997319369439662,0.0,0.009953103845731691,0.0,1.0,1.0,0.0,0.0,8.356801272485324e-11,9.928524322653719e-11,0.0,0.0,0.0,0.0,,0.4997605843425162,0.0,-0.4997605843425162,linear,100,0.5,1.0,100,100,0.019,1000
1.0,0.0,0.49953030262287507,0.0,0.49953030262287507,,-0.5003115473559945,0.25953476931108643,0.0,0.25953476931108643,,0.2612786054273297,0.0,0.0,0.0,0.0,0.010078813196758527,0.0,0.010134412553313554,0.0,0.010004246072585309,0.0,1.0,1.0,0.0,0.0,5.7162187977752095e-11,8.220586796424566e-11,0.0,0.0,0.0,0.0,,0.499530302622875,0.0,-0.499530302622875,linear,100,0.5,1.0,100,100,0.02,1000
1.0,0.0,0.5001950944422471,0.0,0.5001950944422471,,-0.4751241806275423,0.26019087032240396,0.0,0.26019087032240396,,0.23680125513415867,0.0,0.0,0.0,0.0,0.010143742496767744,0.0,0.010231076978560344,0.0,0.009995737818315475,0.0,1.0,1.0,0.0,0.0,3.4182729521430906e-11,6.832097608568828e-11,0.0,0.0,0.0,0.0,,0.5001950944422471,0.0,-0.5001950944422471,linear,100,0.5,1.0,100,100,0.021,1000
1.0,0.0,0.4998833152760412,0.0,0.4998833152760412,,-0.45024713227762125,0.25984238555500766,0.0,0.25984238555500766,,0.2139580465485652,0.0,0.0,0.0,0.0,0.01045209636892897,0.0,0.010541651464492457,0.0,0.00995905666364164,0.0,1.0,1.0,0.0,0.0,1.5837038565357253e-11,5.649461775863851e-11,0.0,0.0,0.0,0.0,,0.4998833152760413,0.0,-0.4998833152760413,linear,100,0.5,1.0,100,100,0.022,1000
1.0,3.1055900621118014e-05,0.5000276781041854,5.9606391991004534e-05,0.5000276781041854,1.919325822110346,-0.42519998451629176,0.26006504931974117,0.00016809479246647456,0.26006504931974117,5.412652317420483,0.19208629385738343,0.003105590062111801,0.05564122008437553,0.0,0.0005564122008437553,0.00977104456604471,0.0012951428503059268,0.009857070478860717,0.004288225772128326,0.010037370449478392,0.00016809123954450838,1.0000693171198487,1.0001415370901154,0.003353468731619202,0.07148934834918347,6.899535831570312e-05,0.0017032740571031847,0.0,0.0,0.0,-0.003606083082172775,-1.1611587524596336,0.4999802628857178,-0.003606083082172775,-0.4999802628857178,linear,100,0.5,1.0,100,100,0.023,1000
1.0,0.00010298661174047374,0.4999577097626708,0.00030149386761635865,0.4999577097626708,2.9275054545548427,-0.4002407365576274,0.260005695650616,0.001310041477505746,0.260005695650616,12.720502746580795,0.17150910047386436,0.010298661174047374,0.10095840109703373,0.0,0.0010095840109703375,0.01001566907240311,0.0036068706967185824,0.010089227365666661,0.01878431624186068,0.010047984099481034,0.0013099505789535358,1.0004121180761407,1.000855075361312,0.019560746935646314,0.23284660095493281,0.0006979125515483388,0.009986482452759328,0.0,0.0,0.0,-0.009843083513839683,-0.9557634091938333,0.4997265643187915,-0.009843083513839683,-0.4997265643187915,linear,100,0.5,1.0,100,100,0.024,1000
1.0,0.00016460905349794237,0.49922455012391415,0.00044581047924361326,0.49922455012391415,2.7082986614049505,-0.376111171272174,0.2592376200738175,0.001741120439798183,0.2592376200738175,10.577306671773961,0.15298126525919478,0.01646090534979424,0.12723971056576383,0.0,0.0012723971056576384,0.010039787807707602,0.0041487898735147345,0.010110382596303358,0.021117576319611753,0.010012468627393054,0.0017409216928147796,1.0005812854902456,1.0012013847103438,0.02775012057997057,0.2554514281248886,0.0008803833750104181,0.010664406743070258,0.0,0.0,0.0,-0.01602285930496141,-0.9733887027764057,0.4988841527389459,-0.01602285930496141,-0.4988841527389459,linear,100,0.5,1.0,100,100,0.025,1000
1.0,0.0005623721881390593,0.499432829516707,0.0013189353726983787,0.499432829516707,2.3453068990891164,-0.35063317363426094,0.2594107334959337,0.00832833435104799,0.2594107334959337,14.80929271877261,0.13462031493632273,0.05623721881390593,0.23037923958981807,0.0,0.002303792395898181,0.011123102733409006,0.00903015797165946,0.011152774058040292,0.11168013063005049,0.009977582296869613,0.008326594760530636,1.0018507001143668,1.0039150654896223,0.08461900462174737,0.5474347878224523,0.004200330145452907,0.05327918802433755,0.0,0.0,0.0,-0.04868832058446878,-0.8657668642110996,0.49838942585168344,-0.048688320584468786,-0.49838942585168344,linear,100,0.5,1.0,100,100,0.026000000000000002,1000
1.0,0.0013793103448275863,0.49695807624523197,0.00399798132656483,0.49695807624523197,2.8985364617595013,-0.3291566298393747,0.25698395991413814,0.02363869670738339,0.25698395991413814,17.138055112852953,0.12020749514586175,0.13793103448275862,0.3448275862068966,0.0,0.003448275862068965,0.013019780233716501,0.014845979670815692,0.013033660935832015,0.12956721217379788,0.01001663036877634,0.023622712852695828,1.0057661652342818,1.0121636644078758,0.26331291314219213,0.9441714899722874,0.01306583992461477,0.06817449799887891,0.0,0.0,0.0,-0.11533532761312257,-0.8361811251951385,0.4939115007745328,-0.11533532761312258,-0.4939115007745328,linear,100,0.5,1.0,100,100,0.027,1000
1.0,0.002721774193548387,0.4956249591622193,0.0067009431440684586,0.4956249591622193,2.4619761477466335,-0.3058502804818921,0.2555438639760473,0.0315375308299726,0.2555438639760473,11.587122438271415,0.10541991364585365,0.2721774193548387,0.4540499838973802,0.0,0.004540499838973803,0.013198059121855971,0.01647504680966106,0.013114060129275575,0.1296091127354471,0.009899763831495696,0.03149262819095256,1.0099754720765899,1.0208480388191965,0.4637553450104035,1.1018715199326405,0.01914958956073494,0.07215532613804139,2.85016590506068e-05,1.8369897591852132e-05,1.7529082533901975e-05,-0.2190255772601033,-0.8168171903835432,0.49004370923733187,-0.2190255772601033,-0.49004370923733187,linear,100,0.5,1.0,100,100,0.028,1000
1.0,0.00464321608040201,0.4907021141982582,0.013060465103269612,0.4907021141982582,2.8128057960504895,-0.2881827397902593,0.25072852206104657,0.07024407011743856,0.25072852206104657,15.128322460357438,0.09518744024216219,0.464321608040201,0.5431005506589525,0.0,0.005431005506589526,0.016505302593642752,0.023289904230616196,0.01633020454618306,0.2443757363194335,0.009939957182406131,0.07007349436872484,1.0202198692945363,1.0426414644718136,0.9261491536507841,1.5730646086779163,0.04531505795893161,0.1377823798857888,0.00016533227968359103,0.00016084806166364942,0.00016072083730427173,-0.3878496933202517,-0.8790670725595683,0.4800933624936641,-0.3878496933202517,-0.4800933624936641,linear,100,0.5,1.0,100,100,0.029,1000
