"N","qN","R","qR","phiN","Chi","Nu","Gamma","Mu","Sigc","taninv","K","sigK","M","sigM","error"
0.052178727366039663150017,0.04004514021104842018892329,0.4087552157061559,0.2177608699875675,0.1185438975434407065809947,0.5056718286447702,-0.21263357670404318,1,1,1.05,1,1.,0.1,1,0.1,3.055071012677269311726543e-23
0.04929212881069181688355254,0.03528510866564379253582269,0.39830421413678274,0.20846575479703292,0.1200045643966104676498856,0.5069570650165038,-0.19563259453615317,1,1,1.1,1,1.,0.1,1,0.1,1.15432233823419741793246e-23
0.04665133517845904593039337,0.03123721328108128773471313,0.3883167325293466,0.19975509566448657,0.1213659843718016759469814,0.5080571610660837,-0.18062951876401542,1,1,1.1500000000000001,1,1.,0.1,1,0.1,3.444224877556670196188276e-23
0.04422852464322412834696153,0.02777395314673054018581309,0.3787622605904617,0.19158239197143803,0.1226390098255273299908495,0.5089973505360694,-0.1673210655336602,1,1,1.2000000000000002,1,1.,0.1,1,0.1,1.177104138066300866595129e-24
0.04199974178092725259681283,0.02479422334558087928409758,0.36961276891464767,0.1839054244589684,0.1238329698700147268644296,0.5097991499083688,-0.1554594603209015,1,1,1.2500000000000002,1,1.,0.1,1,0.1,6.789704653206805989193102e-23
0.03994427263708430310801575,0.02221715297455496842784331,0.3608424834135089,0.17668583982321562,0.1249559269784013090662278,0.5104809568017129,-0.144840698453586,1,1,1.3000000000000003,1,1.,0.1,1,0.1,1.077530904413902965970208e-22
0.03804413236800848376951515,0.01997753444285477861092631,0.35242767891764415,0.16988877001166058,0.1260148837241067761399851,0.5110585444923174,-0.13529559356116846,1,1,1.3500000000000003,1,1.,0.1,1,0.1,6.426889413873526253600477e-23
0.03628364379218563898417608,0.01802239631085622194185528,0.344346491534963,0.16348248657523756,0.1270159506190653492842491,0.5115454717058978,-0.12668288553545504,1,1,1.4000000000000004,1,1.,0.1,1,0.1,7.528743765502297832232813e-23
0.03464908940159600011402556,0.01630840742052917274794038,0.3365787487485653,0.15743808853821178,0.127964483234927976991467,0.5119534229192974,-0.1188838857509704,1,1,1.4500000000000002,1,1.,0.1,1,0.1,6.389537603708346899760837e-23
0.03312842270745316016391216,0.01479989199365999463627211,0.32910581595129007,0.15172922147744644,0.1288651948542473368674534,0.5122924916880541,-0.11179828099080559,1,1,1.5000000000000002,1,1.,0.1,1,0.1,2.231252661408515075400284e-22
0.03171102793564961094813184,0.01346729861824104682511225,0.3219104580176926,0.14633182562746855,0.1297222497235438506860141,0.5125714174684722,-0.10534081900176707,1,1,1.55,1,1.,0.1,1,0.1,3.428610161773691398987229e-22
0.03038751907776860016501255,0.01228600938946876711133518,0.3149767145964425,0.14122391003760312,0.1305393404907819323137639,0.5127977837417186,-0.09943867055575037,1,1,1.6,1,1.,0.1,1,0.1,2.633227687003490918426814e-22
0.02914957113532962142484936,0.01123540654237807227011441,0.3082897877273425,0.13638535047832517,0.1313197529679228383185957,0.5129781845576901,-0.09402931502366232,1,1,1.6500000000000001,1,1.,0.1,1,0.1,5.606641069345532728564235e-22
0.02798977796693328535399937,0.01029813562854712621574196,0.30183594052415486,0.13179770884308276,0.1320664206823539040303148,0.5131183650631328,-0.08905883423969259,1,1,1.7000000000000002,1,1.,0.1,1,0.1,6.960373152331427259325481e-22
0.02690153183916829275300446,0.009459519654679264505047146,0.29560240587054176,0.1274440712576546,0.1327819707418158244251909,0.5132233399389728,-0.08448052695063488,1,1,1.75,1,1.,0.1,1,0.1,6.987692676865513280853346e-22
