"N","qN","R","qR","phiN","Chi","Gamma","Mu","Sigc","taninv","K","sigK","M","sigM","error"
0.07513452136934957,0.06975648045953646,0.4650580834881694,0.23785155107934952,0.14013699366926174,0.4325580420353783,1,1.,0.99498743710662,1,0.5,0.1,1,0.1,2.9809034982001275e-23
0.32403155197899614,0.43999821420139323,0.7552690103988274,0.717875702386521,0.38656668719892806,0.5704312780688241,1,1.,0.99498743710662,1,1.,0.1,1,0.1,5.602424280534784e-23
0.5157931667638068,0.8427090278730187,0.9895809223117658,1.3392012850979804,0.4964036559461263,0.6528469345356034,1,1.,0.99498743710662,1,1.5,0.1,1,0.1,3.0106665637008947e-23
0.6611604157370323,1.214174721471817,1.203977641805671,2.0846231426546873,0.5563198284975617,0.7247810809839721,1,1.,0.99498743710662,1,2.,0.1,1,0.1,2.8689011093644277e-22
0.18565587607464012,0.1784208543005321,0.36461439145135416,0.16298415777941122,0.3185539691514341,0.26588730890688267,1,2.,1.4,1,0.5,0.1,1,0.1,2.461428061955305e-22
0.49039237289352156,0.7476039905066479,0.5048504145273297,0.3526098802515466,0.5046218352402017,0.2548739410484166,1,2.,1.4,1,1.,0.1,1,0.1,9.259234404707433e-24
0.7463290886075801,1.4775351270155175,0.601767227336331,0.5325149891143659,0.578586015405848,0.2414158639307037,1,2.,1.4,1,1.5,0.1,1,0.1,7.883221882877914e-23
0.9729770439182398,2.315859845063618,0.6788972062591809,0.7031132740859591,0.6193159287536425,0.23045070833326045,1,2.,1.4,1,2.,0.1,1,0.1,2.458070122824506e-20
0.256773686688961,0.27211141976872466,0.28243464492317,0.10311458296351578,0.39195694468804243,0.15953865730575423,1,3.,1.705872210923198,1,0.5,0.1,1,0.1,2.4111174397553037e-21
0.6187810390464435,1.1300672855341936,0.350097995580277,0.17319757315858136,0.5279631696021374,0.12256860650932766,1,3.,1.705872210923198,1,1.,0.1,1,0.1,1.5784734252796046e-22
0.9558655830901003,2.4165417462617493,0.3878377445329596,0.22180058549513007,0.5800298511123637,0.1002787440562755,1,3.,1.705872210923198,1,1.5,0.1,1,0.1,3.113386919541894e-20
1.2805322909468009,4.100292925073598,0.41308684975803595,0.2579260544577337,0.6080916864060419,0.08532037272150908,1,3.,1.705872210923198,1,2.,0.1,1,0.1,3.4871049167445195e-19
0.30862655451051885,0.3650421047357574,0.22376308285152646,0.06612956109579873,0.4190680134808815,0.1001398344944382,1,4.,1.9595917942265424,1,0.5,0.1,1,0.1,7.141201451687239e-21
0.7195648042722119,1.5530774620305683,0.2578476434978046,0.0935121795524778,0.5206040158748426,0.06648540725737094,1,4.,1.9595917942265424,1,1.,0.1,1,0.1,1.4183707513638112e-21
1.1192650839448968,3.4668481143693763,0.2738695409654447,0.10862363734703605,0.5580763268594896,0.05000301697908227,1,4.,1.9595917942265424,1,1.5,0.1,1,0.1,1.0309521144635252e-20
1.514243476087479,6.092608124950005,0.2834075946868956,0.11825358441122363,0.5777560971539613,0.04015993236310584,1,4.,1.9595917942265424,1,2.,0.1,1,0.1,3.5662346202167856e-19
0.34839058326484296,0.4574995573287222,0.18235178183522058,0.04419360772743359,0.42537365100081614,0.06650434467695976,1,5.,2.179449471770337,1,0.5,0.1,1,0.1,1.5156348328576626e-20
0.7958093278587488,1.975184317045478,0.20084166155588487,0.056006437513618,0.5031954668700256,0.0403373730165286,1,5.,2.179449471770337,1,1.,0.1,1,0.1,2.5217432895542857e-20
1.238044062535614,4.492033077707301,0.20861669528472482,0.061676169525807636,0.5311948982876983,0.029013950367679828,1,5.,2.179449471770337,1,1.5,0.1,1,0.1,1.2298064801338571e-20
1.67832198289397,8.001875089806356,0.21295603397225413,0.06500637602772191,0.5456724599247299,0.022675136202595928,1,5.,2.179449471770337,1,2.,0.1,1,0.1,4.787467144708376e-21
0.37951119920945386,0.5478039078326821,0.15257544939075632,0.030907786261156374,0.4219408477420993,0.046558535513582494,1,6.,2.3748684174075834,1,0.5,0.1,1,0.1,2.4861896107478524e-20
0.8532907173380195,2.3780838917314417,0.16340551995641114,0.03653091546126016,0.48321033729664903,0.026701363952225082,1,6.,2.3748684174075834,1,1.,0.1,1,0.1,9.52034707626947e-20
1.3244830317348337,5.44964174034348,0.16765587000956234,0.03902635316048151,0.5049359341331257,0.018738993832442173,1,6.,2.3748684174075834,1,1.5,0.1,1,0.1,1.6083692311315301e-19
1.7947505125334575,9.75928313016427,0.16994514826737084,0.04043171252216938,0.5160803736457782,0.014440676709809327,1,6.,2.3748684174075834,1,2.,0.1,1,0.1,7.22849889637639e-19
0.4042422552961997,0.6349403934242481,0.13055867301201313,0.0225313217221519,0.41391235909011787,0.034091134197315534,1,6.999999999999999,2.5514701644346145,1,0.5,0.1,1,0.1,2.9987289954225104e-20
